id,name,label,resource
MedDRA:10000647,Acute abdomen,SideEffect,MedDRA
MedDRA:10000057,Abdominal cramps,SideEffect,MedDRA
MedDRA:10013480,Distended abdomen,SideEffect,MedDRA
MedDRA:10000077,Abdominal mass,SideEffect,MedDRA
MedDRA:10048830,Abdominal neoplasm NOS,SideEffect,MedDRA
MedDRA:10033374,Pain abdominal,SideEffect,MedDRA
MedDRA:10048065,X-ray abnormal,SideEffect,MedDRA
MedDRA:10038255,Reflexes abnormal NEC,SideEffect,MedDRA
MedDRA:10010316,Congenital abnormality NOS,SideEffect,MedDRA
MedDRA:10000194,Abnormalities of size and form of teeth,SideEffect,MedDRA
MedDRA:10028183,Multiple congenital anomalies,SideEffect,MedDRA
MedDRA:10061165,Gastrin secretion disorder,SideEffect,MedDRA
MedDRA:10041687,Spontaneous abortion,SideEffect,MedDRA
MedDRA:10021356,Illegally induced abortion,SideEffect,MedDRA
MedDRA:10062935,Habitual abortion,SideEffect,MedDRA
MedDRA:10061617,Abortion spontaneous incomplete,SideEffect,MedDRA
MedDRA:10027704,Missed abortion,SideEffect,MedDRA
MedDRA:10040056,Septic abortion,SideEffect,MedDRA
MedDRA:10043406,Therapeutic abortion,SideEffect,MedDRA
MedDRA:10043504,Threatened abortion,SideEffect,MedDRA
MedDRA:10059036,Tubal abortion,SideEffect,MedDRA
MedDRA:10000261,"Abrasion or friction burn of other, multiple, and unspecified sites, without mention of infection",SideEffect,MedDRA
MedDRA:10000267,Abruptio placentae,SideEffect,MedDRA
MedDRA:10000269,Abscess,SideEffect,MedDRA
MedDRA:10069408,Acanthamoeba keratitis,SideEffect,MedDRA
MedDRA:10058820,Acantholysis,SideEffect,MedDRA
MedDRA:10000350,Acanthosis nigricans,SideEffect,MedDRA
MedDRA:10072097,Fire accident,SideEffect,MedDRA
MedDRA:10000369,Accident,SideEffect,MedDRA
MedDRA:10001535,Aircraft accident,SideEffect,MedDRA
MedDRA:10000375,Accident household,SideEffect,MedDRA
MedDRA:10021727,Industrial accident,SideEffect,MedDRA
MedDRA:10044332,Traffic accident,SideEffect,MedDRA
MedDRA:10000451,Achlorhydria,SideEffect,MedDRA
MedDRA:10066122,Achondrogenesis,SideEffect,MedDRA
MedDRA:10000452,Achondroplasia,SideEffect,MedDRA
MedDRA:10000486,Acidosis,SideEffect,MedDRA
MedDRA:10023676,Lactic acidosis,SideEffect,MedDRA
MedDRA:10038535,Renal tubular acidosis,SideEffect,MedDRA
MedDRA:10038661,Respiratory acidosis,SideEffect,MedDRA
MedDRA:10051894,Acinetobacter infection,SideEffect,MedDRA
MedDRA:10000519,Acne vulgaris,SideEffect,MedDRA
MedDRA:10051699,Acne keloid,SideEffect,MedDRA
MedDRA:10000521,Acoustic nerve disorder NOS,SideEffect,MedDRA
MedDRA:10000534,Acquired coagulation factor deficiency,SideEffect,MedDRA
MedDRA:10000536,Acquired deformities of auricle or pinna,SideEffect,MedDRA
MedDRA:10000541,Acquired deformity of chest and rib,SideEffect,MedDRA
MedDRA:10000565,Acquired immunodeficiency syndrome,SideEffect,MedDRA
MedDRA:10002943,Apert's syndrome,SideEffect,MedDRA
MedDRA:10000593,Acrodermatitis,SideEffect,MedDRA
MedDRA:10000598,Acrodynia,SideEffect,MedDRA
MedDRA:10000599,Acromegaly,SideEffect,MedDRA
MedDRA:10014146,Ectopic ACTH syndrome,SideEffect,MedDRA
MedDRA:10000620,Actinomycosis,SideEffect,MedDRA
MedDRA:10000621,Actinomycotic abdominal infection,SideEffect,MedDRA
MedDRA:10008337,Cervicofacial actinomycotic infection,SideEffect,MedDRA
MedDRA:10000623,Actinomycotic infection of other specified sites,SideEffect,MedDRA
MedDRA:10000649,Acute alcoholic hepatitis,SideEffect,MedDRA
MedDRA:10000670,Acute and subacute necrosis of liver,SideEffect,MedDRA
MedDRA:10000681,Acute atopic conjunctivitis,SideEffect,MedDRA
MedDRA:10000686,Acute bronchiolitis,SideEffect,MedDRA
MedDRA:10000736,Acute erythremia and erythroleukemia,SideEffect,MedDRA
MedDRA:10000823,Acute laryngitis,SideEffect,MedDRA
MedDRA:10033647,Pancreatitis acute,SideEffect,MedDRA
MedDRA:10001000,Acute periodontitis,SideEffect,MedDRA
MedDRA:10001002,Acute pharyngitis,SideEffect,MedDRA
MedDRA:10048998,Acute phase reaction,SideEffect,MedDRA
MedDRA:10001050,Acute renal failure with other specified pathological lesion in kidney,SideEffect,MedDRA
MedDRA:10043780,Thyroiditis acute,SideEffect,MedDRA
MedDRA:10001093,Acute tonsillitis,SideEffect,MedDRA
MedDRA:10001108,Acute vascular insufficiency of intestine,SideEffect,MedDRA
MedDRA:10070815,Acute yellow liver atrophy,SideEffect,MedDRA
MedDRA:10001111,"Acute, but ill-defined, cerebrovascular disease",SideEffect,MedDRA
MedDRA:10042074,Stokes-Adams syndrome,SideEffect,MedDRA
MedDRA:10001130,Addison's disease,SideEffect,MedDRA
MedDRA:10001137,Adenitis,SideEffect,MedDRA
MedDRA:10001141,Adenocarcinoma,SideEffect,MedDRA
MedDRA:10072991,Adenofibroma,SideEffect,MedDRA
MedDRA:10001230,Adenoidectomy,SideEffect,MedDRA
MedDRA:10051223,Adenoiditis,SideEffect,MedDRA
MedDRA:10070460,Adenolymphoma,SideEffect,MedDRA
MedDRA:10001231,Adenoma,SideEffect,MedDRA
MedDRA:10001263,Adenovirus infection in conditions classified elsewhere and of unspecified site,SideEffect,MedDRA
MedDRA:10060931,Adenovirus infection,SideEffect,MedDRA
MedDRA:10060932,Postoperative adhesion,SideEffect,MedDRA
MedDRA:10059837,Adhesion,SideEffect,MedDRA
MedDRA:10020353,Holmes-Adie syndrome,SideEffect,MedDRA
MedDRA:10001294,Adiposis dolorosa,SideEffect,MedDRA
MedDRA:10001297,Adjustment disorder with depressed mood,SideEffect,MedDRA
MedDRA:10001298,Adjustment disorder with disturbance of conduct,SideEffect,MedDRA
MedDRA:10001300,Adjustment disorder with mixed disturbance of emotion and conduct,SideEffect,MedDRA
MedDRA:10001301,Adjustment disorders,SideEffect,MedDRA
MedDRA:10001305,Adjustment reaction with brief depressive reaction,SideEffect,MedDRA
MedDRA:10001317,Adnexitis,SideEffect,MedDRA
MedDRA:10001318,Adolescence,SideEffect,MedDRA
MedDRA:10001322,Adoption,SideEffect,MedDRA
MedDRA:10045767,Unspecified disorder of adrenal glands,SideEffect,MedDRA
MedDRA:10020564,Hyperadrenocorticism,SideEffect,MedDRA
MedDRA:10022460,Insufficiency adrenal,SideEffect,MedDRA
MedDRA:10028981,Neoplasm adrenal,SideEffect,MedDRA
MedDRA:10010323,Congenital adrenal hyperplasia,SideEffect,MedDRA
MedDRA:10061622,Adrenalectomy,SideEffect,MedDRA
MedDRA:10001405,Adult maltreatment syndrome,SideEffect,MedDRA
MedDRA:10001431,Aerophagy,SideEffect,MedDRA
MedDRA:10001448,Affective psychoses,SideEffect,MedDRA
MedDRA:10056245,Afferent loop syndrome,SideEffect,MedDRA
MedDRA:10001453,Afibrinogenemia,SideEffect,MedDRA
MedDRA:10001463,After images,SideEffect,MedDRA
MedDRA:10001471,Agammaglobulinemia,SideEffect,MedDRA
MedDRA:10062375,Aggressive behavior,SideEffect,MedDRA
MedDRA:10048663,Agnosia,SideEffect,MedDRA
MedDRA:10001502,Agoraphobia,SideEffect,MedDRA
MedDRA:10001505,Agoraphobia without mention of panic attacks,SideEffect,MedDRA
MedDRA:10001507,Agranulocytosis,SideEffect,MedDRA
MedDRA:10001508,Agraphia,SideEffect,MedDRA
MedDRA:10065040,AIDS dementia complex,SideEffect,MedDRA
MedDRA:10001513,AIDS related complex,SideEffect,MedDRA
MedDRA:10001524,Ainhum,SideEffect,MedDRA
MedDRA:10001532,Air sickness,SideEffect,MedDRA
MedDRA:10001536,Airway obstruction NOS,SideEffect,MedDRA
MedDRA:10001542,Akinetic mutism,SideEffect,MedDRA
MedDRA:10001555,Alastrim,SideEffect,MedDRA
MedDRA:10001557,Albinism,SideEffect,MedDRA
MedDRA:10001580,Albuminuria,SideEffect,MedDRA
MedDRA:10001593,Alcohol amnestic syndrome,SideEffect,MedDRA
MedDRA:10048921,Alcohol use,SideEffect,MedDRA
MedDRA:10021249,Idiosyncratic alcohol intoxication,SideEffect,MedDRA
MedDRA:10001610,Alcohol withdrawal delirium,SideEffect,MedDRA
MedDRA:10001599,Alcohol intoxication,SideEffect,MedDRA
MedDRA:10001639,Alcoholism,SideEffect,MedDRA
