id,name,type,label,resource
NDF-RT:N0000179006,(1-6)-alpha-glucomannan,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166498,(4-(m-Chlorophenylcarbamoyloxy)-2-butynyl)trimethylammonium Chloride,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166926,"(R)-2,3,4,5-Tetrahydro-8-chloro-3-methyl-5-phenyl-1H-3-benzazepin-7-ol",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000179007,1 alpha-hydroxyergocalciferol,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000023230,"1,1,1 TRICHLOROETHANE",,PharmacologicClass,NDF-RT
NDF-RT:N0000157782,"1,1,1 TRICHLOROETHANE (INHIBITED) SOLN",[VA Product],PharmacologicClass,NDF-RT
NDF-RT:N0000179008,"1,1,1-trichloroethane",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000179009,"1,2-diacylglycerol",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000178584,"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166560,"1,2-Dimethylhydrazine",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000007747,"1,2-Dipalmitoylphosphatidylcholine",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000179011,"1,3-dimethylol-5,5-dimethylhydantoin",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000168345,"1,4-alpha-Glucan Branching Enzyme",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167120,1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000168130,1-Acylglycerol-3-Phosphate O-Acyltransferase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000168157,1-Acylglycerophosphocholine O-Acyltransferase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167633,1-Alkyl-2-acetylglycerophosphocholine Esterase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000168650,1-Butanol,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000170281,1-Carboxyglutamic Acid,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000000060,1-Compartment,[PK],PharmacologicClass,NDF-RT
NDF-RT:N0000167204,1-Deoxynojirimycin,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166987,1-Methyl-3-isobutylxanthine,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167234,"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167230,1-Methyl-4-phenylpyridinium,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000007745,1-Naphthylamine,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167379,1-Naphthylisothiocyanate,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000168644,1-Octanol,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000168242,1-Phosphatidylinositol 4-Kinase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166835,1-Propanol,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167886,1-Pyrroline-5-Carboxylate Dehydrogenase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000171048,1-Sarcosine-8-Isoleucine Angiotensin II,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167982,11-beta-Hydroxysteroid Dehydrogenase Type 1,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167981,11-beta-Hydroxysteroid Dehydrogenase Type 2,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167980,11-beta-Hydroxysteroid Dehydrogenases,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000011376,11-Hydroxycorticosteroids,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000010000,12 Hour Extended Release Suspension,[Dose Form],PharmacologicClass,NDF-RT
NDF-RT:N0000168586,"12-Hydroxy-5,8,10,14-eicosatetraenoic Acid",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000170428,14-3-3 Proteins,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000020025,14-alpha Demethylase Inhibitors,[MoA],PharmacologicClass,NDF-RT
NDF-RT:N0000171030,"15-Hydroxy-11 alpha,9 alpha-(epoxymethano)prosta-5,13-dienoic Acid",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167928,15-Oxoprostaglandin 13-Reductase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000171021,"16,16-Dimethylprostaglandin E2",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000179012,17-alpha-hydroxy-progesterone caproate,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167507,17-alpha-Hydroxypregnenolone,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167502,17-alpha-Hydroxyprogesterone,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000011307,17-Hydroxycorticosteroids,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167990,17-Hydroxysteroid Dehydrogenases,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000007748,17-Ketosteroids,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167498,18-Hydroxycorticosterone,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167499,18-Hydroxydesoxycorticosterone,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167436,19-Iodocholesterol,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000185634,"2',3'-Cyclic Nucleotide 3'-Phosphodiesterase",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167620,"2',3'-Cyclic-Nucleotide Phosphodiesterases",[Chemical/Ingredient],PharmacologicClass,NDF-RT
