relation_type	source_name	source_type	source_id	target_name	target_type	target_id	key_sentence	pmids	resource
activated_by	nuclear factor κ B (IκBα/NF-κB) signaling pathway	Pathway	KEGG:hsa04064	iRhom2	Gene	ENTREZ:217344	"iRhom2-/- mice exhibited reduced inflammatory response, as evidenced by the reduction of interleukin 1β (IL-1β), IL-6, tumor necrosis factor-α (TNF-α) and IL-18 in kidney samples, which might be, at least partly, through inactivating TNF-α converting enzyme/TNF-α receptors (TACE/TNFRs) and inhibitor of α/nuclear factor κ B (IκBα/NF-κB) signaling pathways."	30165303	CustomKB
activated_by	TGF-β/Smad3	Pathway	REACT:R-MMU-2173796	PM2.5	Compound	MESH:D052638	These results suggest that EMT up-regulation mediated by the TGF-β/Smad3 pathway plays a role in postnatal pulmonary dysfunction associated with maternal exposure to PM2.5.	28041981	CustomKB
activated_by	JNK-mediated inhibitory signaling pathway	Pathway	KEGG:hsa_M00688	PM2.5	Compound	MESH:D052638	"Taken together, our study demonstrated PM2.5 exposure triggered Nrf2-mediated oxidative responses and activated the JNK-mediated inhibitory signaling pathway, resulting in hepatic insulin resistance."	28708100	CustomKB
activated_by	PI3K/Akt	Pathway	KEGG:hsa_M00676	PM2.5	Compound	MESH:D052638	PM2.5 exposure leads to oxidative stress impairment via PI3K/Akt signaling pathway on male reproduction in rats.	26115885	CustomKB
activated_by	PM2.5	Compound	MESH:D052638	UPR-mediated JNK apoptotic pathway	Pathway	REACT:R-MMU-193648	These findings suggested that maternal exposure to PM2.5 may affect spermatogenesis by increasing apoptosis through activation of UPR-mediated JNK apoptotic pathway in offspring testicles and by reducing testosterone secretion.	35237427	CustomKB
activated_by	TGF-β3/p38 MAPK	Pathway	KEGG:hsa_M00689	PM2.5	Compound	MESH:D052638	"These results demonstrate that PM2.5 restrained the expressions of BTB-associated proteins through activating TGF-β3/p38 MAPK pathway and decreasing testosterone secretion, and therefore lead to the damage of BTB resulting in the decrease of sperm quality, which might be the potential reasons for its negative effects on spermatogenesis and male reproduction."	29673083	CustomKB
activated_by	plasmalogens (Pls)	Compound	MESH:D010955	ERK	Gene	ENTREZ:5594	"Recent evidence showed that these phospholipids enhanced memory and reduced neuro-inflammation in the murine brain. Pls can stimulate the cellular signaling molecules, ERK and Akt, by activating the membrane-bound G protein-coupled receptors (GPCRs). Therefore, recent findings suggest that plasmalogens could be one of the key phospholipids in the brain to enhance memory and inhibit NF."	36347405	CustomKB
activated_by	PM2.5	Compound	MESH:D052638	aryl hydrocarbon receptor (AhR) pathway	Pathway	REACT:R-MMU-8937144	"Mechanically, the aryl hydrocarbon receptor (AhR) pathway was activated after exposure to PM2.5, with a significant increase in CYP1A1 expression."	35046903	CustomKB
activated_by	PS-1	Compound	MESH:C473739	JAK2/STAT3 pathway	Pathway	WikiPathways:WP2593	"Proanthocyanidin A1 (PS-1) and its stereoisomers (PS-2-4) were demonstrated to promote the proliferation of MKs (Dami cells), especially PS-1 (EC50 = 8.58 μM). Further studies demonstrated that PS-1 could induce the differentiation of Dami cells in dose/time-dependent manner. Biological target analysis showed that PS-1 directly bound to JAK2 (KD = 2.06 μM) to exert potent activating effect (EC50 = 0.66 μM)."	34906892	CustomKB
activated_by	ERK1/2	Gene	ENTREZ:26413	PM2.5	Compound	MESH:D052638	"PM2.5 dripped into trachea in mice model activated the expression of Ang II, ERK1/2, and TGF-β1. The activation of renin-angiotensin system (RAS) was suggested to participate in the cardiac fibrosis induced by PM2.5."	33726569	CustomKB
