relation_type	source_name	source_type	source_id	target_name	target_type	target_id	key_sentence	pmids	resource
BioMedGPS::AssociatedWith::CellularComponent:Disease	mitochondria	CellularComponent	GO:0005739	ME/CFS	Disease	MONDO:0005404	"Due to the potential role that mitochondria may play in ME/CFS, mitochondrial-targeting nutraceutical interventions have been used to potentially assist in improving patient outcomes such as fatigue."	33596913	CustomKB
BioMedGPS::AssociatedWith::Metabolite:Disease	coenzyme A	Metabolite	HMDB:HMDB0001423	Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"They exhibited proteome alterations, including altered mitochondrial metabolism, centred on pyruvate dehydrogenase and coenzyme A metabolism, leading to a decreased capacity to provide adequate intracellular ATP levels."	34209852	CustomKB
BioMedGPS::AssociatedWith::Metabolite:Disease	intracellular ATP	Metabolite	HMDB:HMDB0000538	Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"They exhibited proteome alterations, including altered mitochondrial metabolism, centred on pyruvate dehydrogenase and coenzyme A metabolism, leading to a decreased capacity to provide adequate intracellular ATP levels."	34209852	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Metabolite	oxidative-redox stress	BiologicalProcess	GO:0006979	homocysteine	Metabolite	HMDB:HMDB0000742	"Importantly, elevated homocysteine may be considered a biomarker for impaired FOCM, which is known to result in increased oxidative-redox stress."	35056324	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Gene	Ca2+ influx	BiologicalProcess	GO:0070509	transient receptor potential melastatin 3 (TRPM3)	Gene	ENTREZ:80036	"Collectively, these findings validate that TRPM3 loss of function results in altered Ca2+ influx supporting the growing evidence that ME/CFS is a TRP ion channel disorder and that NTX provides a potential therapeutic intervention for ME/CFS."	35172836	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Gene	activation of microglia	BiologicalProcess	GO:0001774	TNF	Gene	ENTREZ:7124	The case is made that this shared chronicity arises from a positive feedback loop causing the persistence of the activation of microglia by the TNF that these cells generate.	35174650	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	O2 exchange	BiologicalProcess	GO:0072592	Long COVID	Disease	MONDO:0100233	"Although the symptoms of Long COVID are multifarious, we here argue that the ability of these fibrin amyloid microclots (fibrinaloids) to block up capillaries, and thus to limit the passage of red blood cells and hence O2 exchange, can actually underpin the majority of these symptoms."	35195253	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Anatomy	glutamate metabolism	BiologicalProcess	GO:0006536	brain	Anatomy	MESH:D001921	"Numerous altered pathways were observed to depend on glutamate metabolism, a crucial component of the homeostasis of many organs in the body, including the brain."	35358096	CustomKB
BioMedGPS::AssociatedWith::Metabolite:Symptom	glutamate	Metabolite	HMDB:HMDB0029163	Post-exertional malaise (PEM)	Symptom	SYMP:0019176	"Numerous altered pathways were observed to depend on glutamate metabolism, a crucial component of the homeostasis of many organs in the body, including the brain."	35358096	CustomKB
BioMedGPS::AssociatedWith::Gene:Symptom	hemoglobin	Gene	ENTREZ:3043	fatigue	Symptom	SYMP:0019177	"Patients exhibiting post-COVID fatigue at 6 or 12 months exhibited a lower hemoglobin level, higher lymphocyte count, and lower neutrophil and platelets counts (all, p < 0.05), whereas those exhibiting post-COVID dyspnea at 6 or 12 months had a lower platelet count and lower alanine transaminase, aspartate transaminase, and lactate dehydrogenase (LDH) levels (all, p < 0.05) than those not developing post-COVID fatigue or dyspnea, respectively."	35381597	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Symptom	lymphocyte	BiologicalProcess	GO:0046649	fatigue	Symptom	SYMP:0019177	"Patients exhibiting post-COVID fatigue at 6 or 12 months exhibited a lower hemoglobin level, higher lymphocyte count, and lower neutrophil and platelets counts (all, p < 0.05), whereas those exhibiting post-COVID dyspnea at 6 or 12 months had a lower platelet count and lower alanine transaminase, aspartate transaminase, and lactate dehydrogenase (LDH) levels (all, p < 0.05) than those not developing post-COVID fatigue or dyspnea, respectively."	35381597	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Symptom	neutrophil	BiologicalProcess	GO:0042119	fatigue	Symptom	SYMP:0019177	"Patients exhibiting post-COVID fatigue at 6 or 12 months exhibited a lower hemoglobin level, higher lymphocyte count, and lower neutrophil and platelets counts (all, p < 0.05), whereas those exhibiting post-COVID dyspnea at 6 or 12 months had a lower platelet count and lower alanine transaminase, aspartate transaminase, and lactate dehydrogenase (LDH) levels (all, p < 0.05) than those not developing post-COVID fatigue or dyspnea, respectively."	35381597	CustomKB
BioMedGPS::AssociatedWith::Gene:Symptom	alanine transaminase	Gene	ENTREZ:2875	dyspnea	Symptom	SYMP:0019153	"Patients exhibiting post-COVID fatigue at 6 or 12 months exhibited a lower hemoglobin level, higher lymphocyte count, and lower neutrophil and platelets counts (all, p < 0.05), whereas those exhibiting post-COVID dyspnea at 6 or 12 months had a lower platelet count and lower alanine transaminase, aspartate transaminase, and lactate dehydrogenase (LDH) levels (all, p < 0.05) than those not developing post-COVID fatigue or dyspnea, respectively."	35381597	CustomKB
