id,name,label,resource,accession_numbers,cas_number,unii,synonyms,inchi_key
DrugBank:DB00001,Lepirudin,Compound,DrugBank,BIOD00024|BTD00024,138068-37-8,Y43GF64R34,Hirudin variant-1|Lepirudin recombinant,
DrugBank:DB00002,Cetuximab,Compound,DrugBank,BIOD00071|BTD00071,205923-56-4,PQX0D8J21J,Cetuximab|Cétuximab|Cetuximabum,
DrugBank:DB00003,Dornase alfa,Compound,DrugBank,BIOD00001|BTD00001,143831-71-4,953A26OA1Y,"Deoxyribonuclease (human clone 18-1 protein moiety)|Dornasa alfa|Dornase alfa, recombinant|Dornase alpha|Recombinant deoxyribonuclease (DNAse)",
DrugBank:DB00004,Denileukin diftitox,Compound,DrugBank,BIOD00084|BTD00084,173146-27-5,25E79B5CTM,Denileukin|Interleukin-2/diptheria toxin fusion protein,
DrugBank:DB00005,Etanercept,Compound,DrugBank,BIOD00052|BTD00052,185243-69-0,OP401G7OJC,Etanercept|etanercept-szzs|etanercept-ykro|Recombinant human TNF|rhu TNFR:Fc|rhu-TNFR:Fc|TNFR-Immunoadhesin,
DrugBank:DB00006,Bivalirudin,Compound,DrugBank,BIOD00076|BTD00076|DB02351|EXPT03302,128270-60-0,TN9BEX005G,Bivalirudin|Bivalirudina|Bivalirudinum,OIRCOABEOLEUMC-GEJPAHFPSA-N
DrugBank:DB00007,Leuprolide,Compound,DrugBank,BIOD00009|BTD00009,53714-56-0,EFY6W0M8TG,Leuprorelin|Leuprorelina|Leuproreline|Leuprorelinum,GFIJNRVAKGFPGQ-LIJARHBVSA-N
DrugBank:DB00008,Peginterferon alfa-2a,Compound,DrugBank,BIOD00043|BTD00043,198153-51-4,Q46947FE7K,PEG-IFN alfa-2A|PEG-Interferon alfa-2A|Peginterferon alfa-2a|Pegylated Interfeaon alfa-2A|Pegylated interferon alfa-2a|Pegylated interferon alpha-2a|Pegylated-interferon alfa 2a,
DrugBank:DB00009,Alteplase,Compound,DrugBank,BIOD00050|BTD00050,105857-23-6,1RXS4UE564,"Alteplasa|Alteplase (genetical recombination)|Alteplase, recombinant|Alteplase,recombinant|Plasminogen activator (human tissue-type protein moiety)|rt-PA|t-PA|t-plasminogen activator|Tissue plasminogen activator|Tissue plasminogen activator alteplase|Tissue plasminogen activator, recombinant|tPA",
DrugBank:DB00010,Sermorelin,Compound,DrugBank,BIOD00033|BTD00033,86168-78-7,89243S03TE,,
