id,name,resource
MedDRA:10000647,Acute abdomen,MedDRA
MedDRA:10000057,Abdominal cramps,MedDRA
MedDRA:10013480,Distended abdomen,MedDRA
MedDRA:10000077,Abdominal mass,MedDRA
MedDRA:10048830,Abdominal neoplasm NOS,MedDRA
MedDRA:10033374,Pain abdominal,MedDRA
MedDRA:10048065,X-ray abnormal,MedDRA
MedDRA:10038255,Reflexes abnormal NEC,MedDRA
MedDRA:10010316,Congenital abnormality NOS,MedDRA
MedDRA:10000194,Abnormalities of size and form of teeth,MedDRA
MedDRA:10028183,Multiple congenital anomalies,MedDRA
MedDRA:10061165,Gastrin secretion disorder,MedDRA
MedDRA:10041687,Spontaneous abortion,MedDRA
MedDRA:10021356,Illegally induced abortion,MedDRA
MedDRA:10062935,Habitual abortion,MedDRA
MedDRA:10061617,Abortion spontaneous incomplete,MedDRA
MedDRA:10027704,Missed abortion,MedDRA
MedDRA:10040056,Septic abortion,MedDRA
MedDRA:10043406,Therapeutic abortion,MedDRA
MedDRA:10043504,Threatened abortion,MedDRA
MedDRA:10059036,Tubal abortion,MedDRA
MedDRA:10000261,"Abrasion or friction burn of other, multiple, and unspecified sites, without mention of infection",MedDRA
MedDRA:10000267,Abruptio placentae,MedDRA
MedDRA:10000269,Abscess,MedDRA
MedDRA:10069408,Acanthamoeba keratitis,MedDRA
MedDRA:10058820,Acantholysis,MedDRA
MedDRA:10000350,Acanthosis nigricans,MedDRA
MedDRA:10072097,Fire accident,MedDRA
MedDRA:10000369,Accident,MedDRA
MedDRA:10001535,Aircraft accident,MedDRA
MedDRA:10000375,Accident household,MedDRA
MedDRA:10021727,Industrial accident,MedDRA
MedDRA:10044332,Traffic accident,MedDRA
MedDRA:10000451,Achlorhydria,MedDRA
MedDRA:10066122,Achondrogenesis,MedDRA
MedDRA:10000452,Achondroplasia,MedDRA
MedDRA:10000486,Acidosis,MedDRA
MedDRA:10023676,Lactic acidosis,MedDRA
MedDRA:10038535,Renal tubular acidosis,MedDRA
MedDRA:10038661,Respiratory acidosis,MedDRA
MedDRA:10051894,Acinetobacter infection,MedDRA
MedDRA:10000519,Acne vulgaris,MedDRA
MedDRA:10051699,Acne keloid,MedDRA
MedDRA:10000521,Acoustic nerve disorder NOS,MedDRA
MedDRA:10000534,Acquired coagulation factor deficiency,MedDRA
MedDRA:10000536,Acquired deformities of auricle or pinna,MedDRA
MedDRA:10000541,Acquired deformity of chest and rib,MedDRA
MedDRA:10000565,Acquired immunodeficiency syndrome,MedDRA
MedDRA:10002943,Apert's syndrome,MedDRA
MedDRA:10000593,Acrodermatitis,MedDRA
MedDRA:10000598,Acrodynia,MedDRA
MedDRA:10000599,Acromegaly,MedDRA
MedDRA:10014146,Ectopic ACTH syndrome,MedDRA
MedDRA:10000620,Actinomycosis,MedDRA
MedDRA:10000621,Actinomycotic abdominal infection,MedDRA
MedDRA:10008337,Cervicofacial actinomycotic infection,MedDRA
MedDRA:10000623,Actinomycotic infection of other specified sites,MedDRA
MedDRA:10000649,Acute alcoholic hepatitis,MedDRA
MedDRA:10000670,Acute and subacute necrosis of liver,MedDRA
MedDRA:10000681,Acute atopic conjunctivitis,MedDRA
MedDRA:10000686,Acute bronchiolitis,MedDRA
MedDRA:10000736,Acute erythremia and erythroleukemia,MedDRA
MedDRA:10000823,Acute laryngitis,MedDRA
MedDRA:10033647,Pancreatitis acute,MedDRA
MedDRA:10001000,Acute periodontitis,MedDRA
MedDRA:10001002,Acute pharyngitis,MedDRA
MedDRA:10048998,Acute phase reaction,MedDRA
MedDRA:10001050,Acute renal failure with other specified pathological lesion in kidney,MedDRA
MedDRA:10043780,Thyroiditis acute,MedDRA
MedDRA:10001093,Acute tonsillitis,MedDRA
MedDRA:10001108,Acute vascular insufficiency of intestine,MedDRA
MedDRA:10070815,Acute yellow liver atrophy,MedDRA
MedDRA:10001111,"Acute, but ill-defined, cerebrovascular disease",MedDRA
MedDRA:10042074,Stokes-Adams syndrome,MedDRA
