drugbank_id	status	valid
DB00001	{'approved', 'withdrawn'}	True
DB00002	{'approved'}	True
DB00003	{'approved'}	True
DB00004	{'approved', 'investigational'}	True
DB00005	{'approved', 'investigational'}	True
DB00006	{'approved', 'investigational'}	True
DB00007	{'approved', 'investigational'}	True
DB00008	{'approved', 'investigational'}	True
DB00009	{'approved', 'investigational'}	True
DB00010	{'approved', 'withdrawn'}	True
DB00011	{'approved', 'investigational'}	True
DB00012	{'approved', 'investigational'}	True
DB00013	{'approved', 'withdrawn', 'investigational'}	True
DB00014	{'approved'}	True
DB00015	{'approved', 'investigational'}	True
DB00016	{'approved'}	True
DB00017	{'approved', 'investigational'}	True
DB00018	{'approved', 'investigational'}	True
DB00019	{'approved'}	True
DB00020	{'approved', 'investigational'}	True
DB00022	{'approved'}	True
DB00023	{'approved', 'investigational'}	True
DB00024	{'approved', 'vet_approved'}	True
DB00025	{'approved', 'investigational'}	True
DB00026	{'approved', 'investigational'}	True
DB00027	{'approved'}	True
DB00028	{'approved', 'investigational'}	True
DB00029	{'approved'}	True
DB00030	{'approved', 'investigational'}	True
DB00031	{'approved'}	True
DB00032	{'approved'}	True
DB00033	{'approved', 'investigational'}	True
DB00034	{'approved', 'investigational'}	True
DB00035	{'approved'}	True
DB00036	{'approved'}	True
DB00038	{'approved', 'investigational'}	True
DB00039	{'approved'}	True
DB00040	{'approved'}	True
DB00041	{'approved'}	True
DB00042	{'approved', 'investigational'}	True
DB00043	{'approved', 'investigational'}	True
DB00044	{'approved'}	True
DB00045	{'approved', 'withdrawn'}	True
DB00046	{'approved'}	True
DB00047	{'approved'}	True
DB00048	{'approved', 'investigational'}	True
DB00049	{'approved', 'investigational'}	True
DB00050	{'approved', 'investigational'}	True
DB00051	{'approved', 'experimental'}	True
DB00052	{'approved', 'investigational'}	True
DB00053	{'approved'}	True
DB00054	{'approved'}	True
DB00055	{'approved', 'withdrawn', 'investigational'}	True
DB00056	{'approved', 'investigational'}	True
DB00057	{'withdrawn', 'experimental'}	True
DB00058	{'approved'}	True
DB00059	{'approved', 'investigational'}	True
DB00060	{'approved', 'investigational'}	True
DB00061	{'approved'}	True
DB00062	{'approved'}	True
DB00063	{'approved', 'investigational'}	True
DB00065	{'approved'}	True
DB00066	{'approved'}	True
DB00067	{'approved'}	True
DB00068	{'approved'}	True
DB00069	{'approved', 'investigational'}	True
DB00070	{'approved', 'investigational'}	True
DB00071	{'approved'}	True
DB00072	{'approved', 'investigational'}	True
DB00073	{'approved'}	True
DB00074	{'approved', 'investigational'}	True
DB00075	{'approved', 'investigational'}	True
DB00076	{'approved'}	True
DB00078	{'approved', 'investigational'}	True
DB00080	{'approved', 'investigational'}	True
DB00081	{'approved', 'investigational'}	True
DB00082	{'approved'}	True
DB00083	{'approved', 'investigational'}	True
DB00085	{'approved', 'investigational'}	True
DB00086	{'approved', 'investigational'}	True
DB00087	{'approved', 'investigational'}	True
DB00088	{'approved', 'withdrawn', 'investigational'}	True
DB00089	{'approved'}	True
DB00090	{'approved'}	True
DB00091	{'approved', 'vet_approved', 'investigational'}	True
DB00092	{'approved', 'withdrawn', 'investigational'}	True
DB00093	{'experimental'}	True
DB00094	{'approved', 'vet_approved'}	True
DB00095	{'approved', 'withdrawn', 'investigational'}	True
DB00097	{'approved'}	True
DB00098	{'approved'}	True
DB00099	{'approved'}	True
DB00100	{'approved', 'investigational'}	True
DB00102	{'approved', 'investigational'}	True
DB00103	{'approved', 'investigational'}	True
DB00104	{'approved', 'investigational'}	True
DB00105	{'approved'}	True
DB00106	{'approved', 'withdrawn', 'investigational'}	True
DB00107	{'approved', 'vet_approved'}	True
DB00108	{'approved', 'investigational'}	True
DB00109	{'approved', 'investigational'}	True
DB00110	{'approved', 'investigational'}	True
DB00111	{'withdrawn', 'investigational'}	True
