Interactor1,Category1,Interactor2,Category2,Methods,Databases_source,References,Score
ABCB4,mRNA,TCF7L2,protein,ChIP-seq,ChIPBase,None,0.5483
ABCB4,mRNA,RAD21,protein,ChIP-seq,ChIPBase,None,0.5483
ABCB4,mRNA,CDX2,protein,ChIP-seq,ChIPBase,None,0.5483
ABCB4,mRNA,EBF1,protein,ChIP-seq,ChIPBase,None,0.5483
ABCB4,mRNA,TAF1,protein,ChIP-seq,ChIPBase,None,0.5483
ABCB4,mRNA,BCL3,protein,ChIP-seq,ChIPBase,None,0.5483
ABCB4,mRNA,BATF,protein,ChIP-seq,ChIPBase,None,0.5483
ABCB4,mRNA,SUZ12,protein,ChIP-seq,ChIPBase,None,0.5483
ABCB4,mRNA,NANOG,protein,ChIP-seq,ChIPBase,None,0.5483
ABCB4,mRNA,SPI1,protein,ChIP-seq,ChIPBase,None,0.5483
ABCB4,mRNA,FUS,protein,CLIP-seq,starBase,None,0.5483
ABCB4,mRNA,NCBP3,protein,CLIP-seq,starBase,None,0.5483
ABCB4,mRNA,PBX3,protein,ChIP-seq,ChIPBase,None,0.5483
ABCB4,mRNA,EP300,protein,ChIP-seq,ChIPBase,None,0.5483
ABCB4,mRNA,JUND,protein,ChIP-seq,ChIPBase,None,0.5483
ABCB4,mRNA,POU2F2,protein,ChIP-seq,ChIPBase,None,0.5483
ABCB4,mRNA,BCL11A,protein,ChIP-seq,ChIPBase,None,0.5483
ABCB4,mRNA,IRF4,protein,ChIP-seq,ChIPBase,None,0.5483
ABCB4,mRNA,GATA6,protein,ChIP-seq,ChIPBase,None,0.5483
ABCB4,mRNA,E2F4,protein,ChIP-seq,ChIPBase,None,0.5483
ABCB4,mRNA,DGCR8,protein,CLIP-seq,starBase,None,0.5483
ABCB4,mRNA,HEY1,protein,ChIP-seq,ChIPBase,None,0.5483
ABCB4,mRNA,TCF12,protein,ChIP-seq,ChIPBase,None,0.5483
ABCB4,mRNA,SP1,protein,ChIP-seq,ChIPBase,None,0.5483
ABCB4,mRNA,HNF4A,protein,ChIP-seq,ChIPBase,None,0.5483
