Fibrosis,Interaction,scores
ABCB4,CHD9,904
ABCB4,HELZ2,905
ABCB4,NR1H4,710
ABCB4,SMARCD3,900
ABCB4,NCOA1,900
ABCB4,RXRA,923
ABCB4,FABP1,918
ABCB4,TGS1,902
ABCB4,CARM1,908
ABCB4,CREBBP,918
ABCB4,TBL1X,904
ABCB4,PPARA,935
ABCB4,ABCB1,820
ABCB4,SLC10A1,739
ABCB4,MED1,903
ABCB4,ATP8B1,800
ABCB4,NCOA2,900
ABCB4,NCOA6,900
ABCB4,TBL1XR1,903
ACE,ATP12A,707
ACE,MDK,871
ACE,NR3C2,811
ACE,CYP11B2,729
ACE,DPP4,709
ACE,KLK4,740
ACE,AGT,996
ACE,CRP,798
ACE,ALB,838
ACE,ATP4A,706
ACE,KNG1,950
ACE,DCP2,776
ACE,INS,841
ACE,SERPINE1,854
ACE,SLC15A1,726
ACE,CMA1,800
ACE,NOS3,878
ACE,AGTR1,928
ACE,CTGF,736
ACE,EDN1,792
ACE,APOE,717
ACE,MTHFR,716
ACE,BDKRB2,792
ACE,ENSG00000264813,804
ACE,ATP6AP2,718
ACE,REN,959
ACE,MME,843
ACE,VEGFA,798
ACE,NPPB,723
ACE,AGTR2,926
ACE2,DPP4,942
ACE2,AGT,991
ACE2,MEP1B,880
ACE2,PRCP,924
ACE2,APLN,730
ACE2,INS,705
ACE2,MEP1A,915
ACE2,SLC15A1,735
ACE2,CMA1,750
ACE2,AGTR1,904
ACE2,XPNPEP2,876
ACE2,ATP6AP2,700
ACE2,REN,950
ACE2,MME,950
ACE2,ADAM17,707
ACE2,AGTR2,858
ACKR3,GNB4,926
ACKR3,TAS2R42,900
ACKR3,GNG5,912
ACKR3,TAS2R19,900
ACKR3,OPRM1,903
ACKR3,NPY5R,900
ACKR3,C3AR1,904
ACKR3,ADRA2A,907
ACKR3,CCR4,908
ACKR3,GPR31,900
ACKR3,PDYN,900
ACKR3,HTR1A,900
ACKR3,GNAI2,914
ACKR3,AGT,901
ACKR3,SSTR5,901
ACKR3,C3,900
ACKR3,NMUR2,900
