GeneName,Alias,FullName,PMID,Method,DiseaseModel,DiseaseName,DiseaseID,Fibrosis
ABCB4,MDR2/MDR3,ATP binding cassette subfamily B member 4,31071368,Gene Knockout,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
ABCB4,MDR2/MDR3,ATP binding cassette subfamily B member 4,16223543,Gene Knockout,Biliary Fibrosis,fibrosis of bile duct,MONDO:0041959,anti
ABCB4,MDR2/MDR3,ATP binding cassette subfamily B member 4,33340584,Gene Knockout,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
ABCB4,MDR2/MDR3,ATP binding cassette subfamily B member 4,21868490,Gene Knockout,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
ACE,,angiotensin converting enzyme,11425779,Inhibition,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
ACE,,angiotensin converting enzyme,22822076,Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
ACE,,angiotensin converting enzyme,27538767,Down Regulation,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
ACE2,,angiotensin converting enzyme 2,27538767,Up Regulation,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
ACE2,,angiotensin converting enzyme 2,20679547,Gene Knockout,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
ACE2,,angiotensin converting enzyme 2,28808068,Gene Knockout,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
ACKR3,CXCR7,atypical chemokine receptor 3,18268039,Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
ACKR3,CXCR7,atypical chemokine receptor 3,26779814,Activation,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,anti
ACKR3,CXCR7,atypical chemokine receptor 3,24256728,Activation,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
ACKR3,CXCR7,atypical chemokine receptor 3,18268039,Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
ACTA2,a-SMA,"actin alpha 2, smooth muscle",22028387,Down Regulation,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
ACTA2,a-SMA,"actin alpha 2, smooth muscle",27853137,Down Regulation,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
ACTA2,a-SMA,"actin alpha 2, smooth muscle",30820965,Down Regulation,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
