Fibrosis,UniprotID,entrezID,FullName,Alias,DrugID,DrugName,Action,Link
IFNG,P01579,3458,interferon gamma,IFG; IFI; IMD69,DB01296,Glucosamine,inhibitor,https://go.drugbank.com/drugs/DB01296#BE0000944
IFNG,P01579,3458,interferon gamma,IFG; IFI; IMD69,DB05110,VIR201,not defined,https://go.drugbank.com/drugs/DB05110#BE0000944
IFNG,P01579,3458,interferon gamma,IFG; IFI; IMD69,DB05111,Fontolizumab,not defined,https://go.drugbank.com/drugs/DB05111#BE0000944
IFNG,P01579,3458,interferon gamma,IFG; IFI; IMD69,DB01250,Olsalazine,not defined,https://go.drugbank.com/drugs/DB01250#BE0000944
IFNG,P01579,3458,interferon gamma,IFG; IFI; IMD69,DB10770,Foreskin fibroblast (neonatal),agonist,https://go.drugbank.com/drugs/DB10770#BE0000944
IFNG,P01579,3458,interferon gamma,IFG; IFI; IMD69,DB10772,Foreskin keratinocyte (neonatal),agonist,https://go.drugbank.com/drugs/DB10772#BE0000944
IFNG,P01579,3458,interferon gamma,IFG; IFI; IMD69,DB14724,Emapalumab,neutralizer,https://go.drugbank.com/drugs/DB14724#BE0000944
MMP7,P09237,4316,matrix metallopeptidase 7,MMP-7; MPSL1; PUMP-1,DB00786,Marimastat,antagonist,https://go.drugbank.com/drugs/DB00786#BE0003690
MMP7,P09237,4316,matrix metallopeptidase 7,MMP-7; MPSL1; PUMP-1,DB08170,"(1R)-N,6-DIHYDROXY-7-METHOXY-2-[(4-METHOXYPHENYL)SULFONYL]-1,2,3,4-TETRAHYDROISOQUINOLINE-1-CARBOXAMIDE",not defined,https://go.drugbank.com/drugs/DB08170#BE0003690
MMP7,P09237,4316,matrix metallopeptidase 7,MMP-7; MPSL1; PUMP-1,DB08489,"N4-HYDROXY-2-ISOBUTYL-N1-(9-OXO-1,8-DIAZA-TRICYCLO[10.6.1.013,18]NONADECA-12(19),13,15,17-TETRAEN-10-YL)-SUCCINAMIDE",not defined,https://go.drugbank.com/drugs/DB08489#BE0003690
MMP7,P09237,4316,matrix metallopeptidase 7,MMP-7; MPSL1; PUMP-1,DB08493,"5-METHYL-3-(9-OXO-1,8-DIAZA-TRICYCLO[10.6.1.013,18]NONADECA-12(19),13,15,17-TETRAEN-10-YLCARBAMOYL)-HEXANOIC ACID",not defined,https://go.drugbank.com/drugs/DB08493#BE0003690
ITGB3,P05106,3690,integrin subunit beta 3,GT; GT2; CD61; GP3A; BDPLT2; GPIIIa; BDPLT16; BDPLT24,DB00063,Eptifibatide,not defined,https://go.drugbank.com/drugs/DB00063#BE0001155
ITGB3,P05106,3690,integrin subunit beta 3,GT; GT2; CD61; GP3A; BDPLT2; GPIIIa; BDPLT16; BDPLT24,DB00054,Abciximab,antagonist,https://go.drugbank.com/drugs/DB00054#BE0001155
ITGB3,P05106,3690,integrin subunit beta 3,GT; GT2; CD61; GP3A; BDPLT2; GPIIIa; BDPLT16; BDPLT24,DB00775,Tirofiban,antagonist,https://go.drugbank.com/drugs/DB00775#BE0001155
ITGB3,P05106,3690,integrin subunit beta 3,GT; GT2; CD61; GP3A; BDPLT2; GPIIIa; BDPLT16; BDPLT24,DB04863,Lefradafiban,not defined,https://go.drugbank.com/drugs/DB04863#BE0001155
ITGB3,P05106,3690,integrin subunit beta 3,GT; GT2; CD61; GP3A; BDPLT2; GPIIIa; BDPLT16; BDPLT24,DB05787,LM-609,not defined,https://go.drugbank.com/drugs/DB05787#BE0001155
ITGB3,P05106,3690,integrin subunit beta 3,GT; GT2; CD61; GP3A; BDPLT2; GPIIIa; BDPLT16; BDPLT24,DB06472,Fradafiban,not defined,https://go.drugbank.com/drugs/DB06472#BE0001155
ITGB3,P05106,3690,integrin subunit beta 3,GT; GT2; CD61; GP3A; BDPLT2; GPIIIa; BDPLT16; BDPLT24,DB00098,Antithymocyte immunoglobulin (rabbit),not defined,https://go.drugbank.com/drugs/DB00098#BE0001155
ITGB3,P05106,3690,integrin subunit beta 3,GT; GT2; CD61; GP3A; BDPLT2; GPIIIa; BDPLT16; BDPLT24,DB02709,Resveratrol,not defined,https://go.drugbank.com/drugs/DB02709#BE0001155
ITGB3,P05106,3690,integrin subunit beta 3,GT; GT2; CD61; GP3A; BDPLT2; GPIIIa; BDPLT16; BDPLT24,DB13949,Ferric cation,binder,https://go.drugbank.com/drugs/DB13949#BE0001155
