source_name	source_type	source_id	target_name	target_type	target_id	relation_type	resource	pmid
ABCB4	Gene	ENTREZ:5244	fibrotic liver disease	Disease	MONDO:0100430	GNBR::D::Gene:Disease	FIBROAD	31071368.0
ABCB4	Gene	ENTREZ:5244	fibrosis of bile duct	Disease	MONDO:0041959	GNBR::D::Gene:Disease	FIBROAD	16223543.0
ABCB4	Gene	ENTREZ:5244	fibrotic liver disease	Disease	MONDO:0100430	GNBR::D::Gene:Disease	FIBROAD	33340584.0
ABCB4	Gene	ENTREZ:5244	fibrotic liver disease	Disease	MONDO:0100430	GNBR::D::Gene:Disease	FIBROAD	21868490.0
ACE	Gene	ENTREZ:1636	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::G::Gene:Disease	FIBROAD	11425779.0
ACE	Gene	ENTREZ:1636	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	22822076.0
ACE	Gene	ENTREZ:1636	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::G::Gene:Disease	FIBROAD	27538767.0
ACE2	Gene	ENTREZ:59272	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::D::Gene:Disease	FIBROAD	27538767.0
ACE2	Gene	ENTREZ:59272	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::D::Gene:Disease	FIBROAD	20679547.0
ACE2	Gene	ENTREZ:59272	renal fibrosis	Disease	MONDO:0000494	GNBR::D::Gene:Disease	FIBROAD	28808068.0
ACKR3	Gene	ENTREZ:57007	renal fibrosis	Disease	MONDO:0000494	GNBR::D::Gene:Disease	FIBROAD	18268039.0
ACKR3	Gene	ENTREZ:57007	pulmonary fibrosis	Disease	MONDO:0002771	GNBR::D::Gene:Disease	FIBROAD	26779814.0
ACKR3	Gene	ENTREZ:57007	fibrotic liver disease	Disease	MONDO:0100430	GNBR::D::Gene:Disease	FIBROAD	24256728.0
ACKR3	Gene	ENTREZ:57007	renal fibrosis	Disease	MONDO:0000494	GNBR::D::Gene:Disease	FIBROAD	18268039.0
ACTA2	Gene	ENTREZ:59	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::G::Gene:Disease	FIBROAD	22028387.0
ACTA2	Gene	ENTREZ:59	fibrotic liver disease	Disease	MONDO:0100430	GNBR::G::Gene:Disease	FIBROAD	27853137.0
ACTA2	Gene	ENTREZ:59	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::G::Gene:Disease	FIBROAD	30820965.0
ACTA2	Gene	ENTREZ:59	fibrotic liver disease	Disease	MONDO:0100430	GNBR::G::Gene:Disease	FIBROAD	31476284.0
ACVR1B	Gene	ENTREZ:91	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::G::Gene:Disease	FIBROAD	28639003.0
ACVR1B	Gene	ENTREZ:91	systemic sclerosis	Disease	MONDO:0005100	GNBR::G::Gene:Disease	FIBROAD	21377836.0
ACVR1B	Gene	ENTREZ:91	atherosclerosis	Disease	MONDO:0005311	GNBR::G::Gene:Disease	FIBROAD	18202322.0
ACVR1B	Gene	ENTREZ:91	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::G::Gene:Disease	FIBROAD	30369314.0
