source_name	source_type	target_name	target_type	source_id	target_id	relation_type	resource
ACTB	Gene	IPF	Disease	ENTREZ:60	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
LAP3	Gene	IPF	Disease	ENTREZ:51056	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
PPIA	Gene	IPF	Disease	ENTREZ:5478	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
FABP5	Gene	IPF	Disease	ENTREZ:2171	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
TPI1	Gene	IPF	Disease	ENTREZ:7167	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
CTSD	Gene	IPF	Disease	ENTREZ:1509	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
ACTA2	Gene	IPF	Disease	ENTREZ:59	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
ANXA5	Gene	IPF	Disease	ENTREZ:308	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
HP	Gene	IPF	Disease	ENTREZ:3240	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
FTL	Gene	IPF	Disease	ENTREZ:2512	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
PRDX1	Gene	IPF	Disease	ENTREZ:5052	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
APOA1	Gene	IPF	Disease	ENTREZ:335	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
S100A11	Gene	IPF	Disease	ENTREZ:6282	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
APCS	Gene	IPF	Disease	ENTREZ:325	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
KRT19	Gene	IPF	Disease	ENTREZ:3880	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
Gsta1	Gene	IPF	Disease	ENTREZ:14857	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
CPB2	Gene	IPF	Disease	ENTREZ:1361	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
LCP1	Gene	IPF	Disease	ENTREZ:3936	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
F10	Gene	IPF	Disease	ENTREZ:14058	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
PROZ	Gene	IPF	Disease	ENTREZ:8858	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
SERPIND1	Gene	IPF	Disease	ENTREZ:3053	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
IGLV1-47	Gene	IPF	Disease	ENTREZ:28822	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
IGLV3-16	Gene	IPF	Disease	ENTREZ:28799	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
ATRN	Gene	IPF	Disease	ENTREZ:8455	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
APOL1	Gene	IPF	Disease	ENTREZ:8542	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
LBP	Gene	IPF	Disease	ENTREZ:3929	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
CNDP1	Gene	IPF	Disease	ENTREZ:84735	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
ITIH2	Gene	IPF	Disease	ENTREZ:3698	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
