source_name	source_type	target_name	target_type	source_id	target_id	pmid	relation_type	resource
AC058822.1	Gene	Breast Cancer	Disease		MONDO:0004989	36703164	GNBR::Y::Gene:Disease	CBCG
FAM126B	Gene	Breast Cancer	Disease		MONDO:0004989	27117709	GNBR::Y::Gene:Disease	CBCG
IRF1-AS1	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	36901898	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	36901898	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	36901898	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	23535729	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989		GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	37524136	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	27863437	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	23535729	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	18648013	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	18438407	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	27640304	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	24743323	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	27117709	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	29058716	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	25680405	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989		GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	36831624	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	23535729	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	23535825	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	23535729	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	23535733	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	27117709	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	29058716	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	24743323	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	27117709	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	22923054	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	21424380	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	27117709	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	29059683	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	23593120	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	24743323	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	35794698	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	27117709	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	35794698	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	34981446	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	23535729	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	24386390	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	29059683	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	16306136	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
