relation_type	source_name	source_type	source_id	target_name	target_type	target_id	key_sentence	pmid
inhibited_by	MnSOD	Gene	ENTREZ:20656	PM2.5	Compound	MESH:D052638	"PM2.5 inhibited Mn superoxide dismutase (MnSOD), Na(+)K(+)-ATPase, and Ca(2+)-ATPase activities and elevated malondialdehyde (MDA) content in rat lung mitochondria;"	25560372
increased_by	TNF-α	Gene	ENTREZ:21926	PM	Compound	MESH:D052638	"The results found that PM mice displayed higher IL-6, TNF-α, NF-κB, and JNK expression and lower AMPK, GLUT4, and UCP-1 when compared with FA mice."	32270451
Hetionet::DrD::Disease:Disease	long COVID	Disease	MONDO:0100233	Endometriosis	Disease	MONDO:0005133	"See Figure 1 for a summary of the female reproductive conditions we review in Long COVID, ME/CFS, POTS, and EDS."	37234076
Hetionet::DrD::Disease:Disease	long COVID	Disease	MONDO:0100233	Amenorrhea	Disease	MONDO:0001836	"See Figure 1 for a summary of the female reproductive conditions we review in Long COVID, ME/CFS, POTS, and EDS."	37234076
Hetionet::DrD::Disease:Disease	long COVID	Disease	MONDO:0100233	Obesity	Disease	MONDO:0011122	"For example, lipid metabolism disorders and obesity were found to be age-independent risk factors for the development of Long COVID, as shown in a retrospective study involving more than 50.000 patients with a confirmed diagnosis of Covid-19 treated by general practitioners in Germany."	36071155
increased_by	mucosal associated invariant T cells (MAIT) cell	BiologicalProcess	GO:0002403	ME/CFS	Disease	MONDO:0005404	"Conversely, there was a significantly increased proportion of mucosal associated invariant T cells (MAIT) cells, especially in severely affected ME/CFS patients."	31057538
associated_with	kynurenine pathway (KP)	Pathway	KEGG:hsa00380	ME/CFS	Disease	MONDO:0005404	"Hyperactivation of the KP, whether compensatory or a driving mechanism of degeneration can limit the availability of NAD+ and exacerbate the symptoms of ME/CFS."	35656104
GNBR::Md::Gene:Disease	alpha-1-macroglobulin	Gene	ENTREZ:2	CFS	Disease	MONDO:0005404	"The proteins were alpha-1-macroglobulin, amyloid precursor-like protein 1, keratin 16, orosomucoid 2 and pigment epithelium-derived factor."	16321154
GNBR::Md::Gene:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	S100A8	Gene	ENTREZ:6279	" The gene ontology analysis of common genes (CXCL8, B2M, SOD1, BCL2, EGF, SERPINE1, S100A8, S100A9, and HMGB1)."	36189286
GNBR::Md::Gene:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	S100A9	Gene	ENTREZ:6280	"The gene ontology analysis of common genes (CXCL8, B2M, SOD1, BCL2, EGF, SERPINE1, S100A8, S100A9, and HMGB1)."	36189286
INTACT::ASSOCIATION::Compound:Gene	EGF	Gene	ENTREZ:1950	Calcium	Compound	DrugBank:DB01373	TABLE 6 Prediction of top 10 candidate drugs for Long COVID and ME/CFS.	36189286
GNBR::Mp::Compound:Disease	plasmalogens	Compound	MESH:D010955	ME/CFS	Disease	MONDO:0005404	"Subjects in the ME/CFS group had significantly decreased levels of plasmalogens and phospholipid ethers (p < 0.001), phosphatidylcholines (p < 0.001) and sphingomyelins (p < 0.001), and elevated levels of dicarboxylic acids (p = 0.013)."	35887252
GNBR::Md::Gene:Disease	neuropeptide Y	Gene	ENTREZ:4852	Chronic fatigue syndrome	Disease	MONDO:0005404	"The significant correlations of NPY with stress, negative mood, general health, depression and cognitive function strongly suggest that this peptide be considered as a biomarker to distinguish subsets of CFS."	21190576
Hetionet::DuG::Disease:Gene	IL-2	Gene	ENTREZ:3558	CFS/ME	Disease	MONDO:0005404	"A significant decrease was observed at T2 in the CFS/ME group for IL-10 and IL-17A while at T3, IL-2 was increased in the CFS/ME group in comparison to the non-fatigued controls."	22571715
GNBR::Mp::Compound:Disease	sphingomyelins	Compound	MESH:D013109	ME/CFS	Disease	MONDO:0005404	"Subjects in the ME/CFS group had significantly decreased levels of plasmalogens and phospholipid ethers (p < 0.001), phosphatidylcholines (p < 0.001) and sphingomyelins (p < 0.001), and elevated levels of dicarboxylic acids (p = 0.013)."	35887252
GNBR::Md::Gene:Disease	P-SEL	Gene	ENTREZ:6403	Long-COVID	Disease	MONDO:0100233	"Vascular transformation blood biomarkers were significantly elevated in Long-COVID, with angiogenesis markers (ANG-1/P-SEL) providing classification accuracy of 96%."	36217108
