source_name	source_type	source_id	target_name	target_type	target_id	relation_type	resource
NCBIGENE:318	Gene	HGNC:8049	ETORPHINE	Compound	NCIT:C80578	DGIDB::AGONIST::Gene:Compound	DGIDB
NCBIGENE:1838	Gene	HGNC:3058	COMPOUND 8E [PMID: 24432909]	Compound	iuphar.ligand:8137	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:2159	Gene	HGNC:3528	GDC-0339	Compound	iuphar.ligand:12708	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:749	Gene	HGNC:10485	RYANODINE	Compound	iuphar.ligand:4303	DGIDB::ACTIVATOR::Gene:Compound	DGIDB
NCBIGENE:358	Gene	HGNC:633	[125I]TYR11-SRIF-14	Compound	iuphar.ligand:2060	DGIDB::AGONIST::Gene:Compound	DGIDB
ADRB3	Gene	HGNC:288	DIPIVEFRIN HYDROCHLORIDE	Compound	RXCUI:203156	DGIDB::AGONIST::Gene:Compound	DGIDB
PLG	Gene	HGNC:9071	LANOTEPLASE	Compound	NCIT:C96707	DGIDB::ACTIVATOR::Gene:Compound	DGIDB
KCND3	Gene	HGNC:6239	VERNAKALANT HYDROCHLORIDE	Compound	NCIT:C152865	DGIDB::BLOCKER::Gene:Compound	DGIDB
RPL28	Gene	HGNC:10330	MT-3724	Compound	CHEMBL:CHEMBL4297789	DGIDB::INHIBITOR::Gene:Compound	DGIDB
ESR1	Gene	HGNC:3467	TAMOXIFEN	Compound	RXCUI:10324	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:303	Gene	HGNC:538	NEUROPEPTIDE B-29	Compound	iuphar.ligand:1502	DGIDB::AGONIST::Gene:Compound	DGIDB
NCBIGENE:1252	Gene	HGNC:5187	RM65	Compound	iuphar.ligand:7029	DGIDB::INHIBITOR::Gene:Compound	DGIDB
HDAC9	Gene	HGNC:14065	ABEXINOSTAT	Compound	NCIT:C68920	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:2159	Gene	HGNC:3528	SGI-1776	Compound	iuphar.ligand:8784	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:530	Gene	HGNC:1391	AMLODIPINE BESYLATE	Compound	RXCUI:104416	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:360	Gene	HGNC:636	[SAR9,MET(O2)11]SP	Compound	iuphar.ligand:3850	DGIDB::AGONIST::Gene:Compound	DGIDB
AVPR1A	Gene	HGNC:895	VASOPRESSIN TANNATE	Compound	CHEMBL:CHEMBL1201528	DGIDB::AGONIST::Gene:Compound	DGIDB
HMGCR	Gene	HGNC:5006	PITAVASTATIN MAGNESIUM	Compound	RXCUI:2001252	DGIDB::INHIBITOR::Gene:Compound	DGIDB
CD274	Gene	HGNC:17635	ANTI-PD-L1 MONOCLONAL ANTIBODY MDX-1105	Compound	NCIT:C78852		DGIDB
CD274	Gene	HGNC:17635	ANTI-PD-L1 MONOCLONAL ANTIBODY MDX-1105	Compound	NCIT:C78852	DGIDB::ANTIBODY::Gene:Compound	DGIDB
NCBIGENE:2651	Gene	HGNC:4204	BIX-01294	Compound	iuphar.ligand:7014	DGIDB::INHIBITOR::Gene:Compound	DGIDB
KIT	Gene	HGNC:6342	ENMD-2076	Compound	iuphar.ligand:7885	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:427	Gene	HGNC:735	PICROTOXIN	Compound	DrugBank:DB00466	DGIDB::BLOCKER::Gene:Compound	DGIDB
GRIN2D	Gene	HGNC:4588	CNS-5161	Compound	DrugBank:DB05824	DGIDB::BLOCKER::Gene:Compound	DGIDB
NCBIGENE:926	Gene	HGNC:1707	BUPROPION HYDROCHLORIDE	Compound	RXCUI:203204	DGIDB::INHIBITOR::Gene:Compound	DGIDB
MAP2K2	Gene	HGNC:6842	SELUMETINIB	Compound	RXCUI:2289380	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:2185	Gene	HGNC:9612	GILTERITINIB	Compound	RXCUI:2105806	DGIDB::INHIBITOR::Gene:Compound	DGIDB
MAP2K1	Gene	HGNC:6840	CI-1040	Compound	DrugBank:DB12429	DGIDB::INHIBITOR::Gene:Compound	DGIDB
PIK3R6	Gene	HGNC:27101	BUPARLISIB HYDROCHLORIDE	Compound	NCIT:C142973	DGIDB::INHIBITOR::Gene:Compound	DGIDB
ALK	Gene	HGNC:427	X-396	Compound	DrugBank:DB13104	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:1504	Gene	HGNC:2521	Y27632	Compound	iuphar.ligand:5290	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:1232	Gene	HGNC:1604	DALUTRAFUSP ALFA	Compound	iuphar.ligand:11776	DGIDB::ANTIBODY::Gene:Compound	DGIDB
SLC10A2	Gene	HGNC:10906	ELOBIXIBAT	Compound	NCIT:C171820	DGIDB::INHIBITOR::Gene:Compound	DGIDB
FGFR3	Gene	HGNC:3690	NINTEDANIB ESYLATE	Compound	RXCUI:1592736	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NR3C1	Gene	HGNC:7978	METHYLPREDNISOLONE SODIUM SUCCINATE	Compound	RXCUI:203189	DGIDB::AGONIST::Gene:Compound	DGIDB
HMGCR	Gene	HGNC:5006	FLUVASTATIN	Compound	RXCUI:41127	DGIDB::INHIBITOR::Gene:Compound	DGIDB
