source_id	source_type	target_id	target_type	source_name	target_name	relation_type	resource	ttd_disease_id	ttd_biomarker_id
UNIPROT:P80188	Gene	ICD-11:1E70	Disease	Neutrophil gelatinase-associated lipocalin (LCN2)	Smallpox	GNBR::Md::Gene:Disease	TTD	ICD-11:1E70	BM003549
UNIPROT:P30460	Gene	ICD-11:8C6Y	Disease	HLA class I histocompatibility antigen, B-8 alpha chain (HLA-B)	Myasthenia gravis	GNBR::Md::Gene:Disease	TTD	ICD-11:8C6Y	BM001695
UNIPROT:P53794	Gene	ICD-11:BA80	Disease	Sodium/myo-inositol cotransporter (SLC5A3)	Coronary artery disease	GNBR::Md::Gene:Disease	TTD	ICD-11:BA80	BM002691
UNIPROT:P04264	Gene	ICD-11:EA90	Disease	Keratin, type II cytoskeletal 1 (KRT1)	Psoriasis vulgaris	GNBR::Md::Gene:Disease	TTD	ICD-11:EA90	BM001941
UNIPROT:Q29963	Gene	ICD-11:EA90	Disease	HLA class I histocompatibility antigen, Cw-6 alpha chain (HLA-C)	Psoriasis vulgaris	GNBR::Md::Gene:Disease	TTD	ICD-11:EA90	BM001696
UNIPROT:Q95IE3	Gene	ICD-11:FA20	Disease	HLA class II histocompatibility antigen, DRB1-12 beta chain (HLA-DRB1)	Rheumatoid arthritis	GNBR::Md::Gene:Disease	TTD	ICD-11:FA20	BM000396
UNIPROT:Q95IE3	Gene	ICD-11:FA20	Disease	HLA class II histocompatibility antigen, DRB1-12 beta chain (HLA-DRB1)	Rheumatoid arthritis	GNBR::Md::Gene:Disease	TTD	ICD-11:FA20	BM001689
UNIPROT:Q95IE3	Gene	ICD-11:FA20	Disease	HLA class II histocompatibility antigen, DRB1-12 beta chain (HLA-DRB1)	Rheumatoid arthritis	GNBR::Md::Gene:Disease	TTD	ICD-11:FA20	BM001690
UNIPROT:Q95IE3	Gene	ICD-11:FA20	Disease	HLA class II histocompatibility antigen, DRB1-12 beta chain (HLA-DRB1)	Rheumatoid arthritis	GNBR::Md::Gene:Disease	TTD	ICD-11:FA20	BM001691
UNIPROT:Q95IE3	Gene	ICD-11:FA20	Disease	HLA class II histocompatibility antigen, DRB1-12 beta chain (HLA-DRB1)	Rheumatoid arthritis	GNBR::Md::Gene:Disease	TTD	ICD-11:FA20	BM001692
