source_id	source_type	target_id	target_type	source_name	target_name	relation_type	resource	ttd_target_id	ttd_source_id
	Compound	ICD-11:1D6Y	Disease	BNT162b2	Coronavirus Disease 2019 (COVID-19)	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1D6Y	DZA90G
	Compound	ICD-11:5C51.20	Disease	Nedosiran	Primary hyperoxaluria type 1	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:5C51.20	DZ8DF0
	Compound	ICD-11:5C51.2	Disease	Nedosiran	Hyperoxaluria	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:5C51.2	DZ8DF0
	Compound	ICD-11:N.A.	Disease	Andexxa	Reversal of anticoagulation	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:N.A.	DY49OT
	Compound	ICD-11:MF3A	Disease	Astodrimer	Bacterial vaginosis	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:MF3A	DY38JR
	Compound	ICD-11:5D00.2	Disease	Vutrisiran	Hereditary amyloidosis	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:5D00.2	DXRP68
	Compound	ICD-11:5D00.20	Disease	Vutrisiran	Transthyretin familial amyloid cardiomyopathy	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:5D00.20	DXRP68
	Compound	ICD-11:2A83	Disease	Talquetamab	Multiple myeloma	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2A83	DXR1A6
	Compound	ICD-11:1C1C	Disease	Menveo	Meningococcal disease	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1C1C	DX02MF
	Compound	ICD-11:5C51.3	Disease	Cipaglucosidase alfa	Glycogen storage disease type II	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:5C51.3	DW7EN6
	Compound	ICD-11:2B6B	Disease	Lotilaner	Nasopharyngeal cancer	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2B6B	DV87CQ
	Compound	ICD-11:3B64.14	Disease	Caplacizumab	Thrombotic thrombocytopenic purpura	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:3B64.14	DUCA08
	Compound	ICD-11:BE2Y	Disease	Crizanlizumab	Vaso-occlusive crisis	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:BE2Y	DU47SF
	Compound	ICD-11:3A51	Disease	Crizanlizumab	Sickle-cell disorder	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:3A51	DU47SF
	Compound	ICD-11:N.A.	Disease	Air polymer-type A	Diagnostic imaging	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:N.A.	DT7SN5
	Compound	ICD-11:9E1Z	Disease	Perfluorohexyloctane	Dry eye disease	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:9E1Z	DSD9Z8
	Compound	ICD-11:1D60.0	Disease	Ansuvimab	Ebola virus infection	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1D60.0	DRM1X5
	Compound	ICD-11:2C25	Disease	Amivantamab	Non-small-cell lung cancer	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2C25	DQ5X1Z
	Compound	ICD-11:2C25.Y	Disease	Amivantamab	Non-small-cell lung cancer	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2C25.Y	DQ5X1Z
	Compound	ICD-11:5C56.02	Disease	OTL-200	Metachromatic leukodystrophy	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:5C56.02	DQ4TO3
	Compound	ICD-11:1C12	Disease	Infanrix hexa	Pertussis	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1C12	DP4O5R
	Compound	ICD-11:1C13	Disease	Infanrix hexa	Tetanus	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1C13	DP4O5R
	Compound	ICD-11:1C17	Disease	Infanrix hexa	Diphtheria	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1C17	DP4O5R
	Compound	ICD-11:1C81	Disease	Infanrix hexa	Poliomyelitis	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1C81	DP4O5R
	Compound	ICD-11:1E51	Disease	Infanrix hexa	Hepatitis B	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1E51	DP4O5R
	Compound	ICD-11:1E30-1E32	Disease	Flucelvax Quadrivalent	Influenza virus infection	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1E30-1E32	DP3Q0C
	Compound	ICD-11:1E51.0	Disease	Flucelvax Quadrivalent	Hepatitis B virus infection	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1E51.0	DP3Q0C
	Compound	ICD-11:8B61	Disease	Zolgensma	Spinal muscular atrophy	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:8B61	DP07NC
	Compound	ICD-11:2C92.0	Disease	Enfortumab	Urothelial carcinoma	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2C92.0	DORB45
	Compound	ICD-11:CA45	Disease	Nirsevimab	Lower respiratory tract infection	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:CA45	DNF95E
	Compound	ICD-11:1C80	Disease	Nirsevimab	Respiratory syncytial virus infection	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1C80	DNF95E
	Compound	ICD-11:3B10.0	Disease	Efanesoctocog alfa	Haemophilia A	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:3B10.0	DMU9P2
	Compound	ICD-11:CA23	Disease	Tezepelumab	Severe asthma	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:CA23	DMOF95
	Compound	ICD-11:2A81	Disease	Glofitamab	Diffuse large B-cell lymphoma	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2A81	DKF7G0
	Compound	ICD-11:2A80	Disease	Glofitamab	Follicular lymphoma	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2A80	DKF7G0
	Compound	ICD-11:3A20.1	Disease	Sutimlimab	Cold type autoimmune haemolytic anemia	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:3A20.1	DJ0L4K
	Compound	ICD-11:2C12	Disease	90Y-loaded resin microspheres	Liver cancer	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2C12	DGWE36
	Compound	ICD-11:2C82.0	Disease	Lutetium Lu-177 vipivotide tetraxetan	Prostate cancer	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2C82.0	DGQW52
	Compound	ICD-11:2C76	Disease	Dostarlimab	Endometrial cancer	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2C76	DGQU43
	Compound	ICD-11:2A00-2F9Z	Disease	Dostarlimab	Neoplasm	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2A00-2F9Z	DGQU43
	Compound	ICD-11:2A83	Disease	Dostarlimab	Multiple myeloma	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2A83	DGQU43
	Compound	ICD-11:2C60-2C65	Disease	Dostarlimab	Breast cancer	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2C60-2C65	DGQU43
	Compound	ICD-11:3B10.0	Disease	PEGylated antihemophilic factor	Haemophilia A	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:3B10.0	DG9Y6S
	Compound	ICD-11:7A00-7A0Z	Disease	Daridorexant	Insomnia	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:7A00-7A0Z	DFN1D5
	Compound	ICD-11:2B30	Disease	Sintilimab	Hodgkin lymphoma	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2B30	DFLK16
	Compound	ICD-11:1E91	Disease	Shingrix	Shingles	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1E91	DF2C7K
	Compound	ICD-11:5D00.20	Disease	Eplontersen	Amyloid polyneuropathy	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:5D00.20	DE2CW9
	Compound	ICD-11:2C25	Disease	Sugemalimab	Non-small-cell lung cancer	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2C25	DDZ48Y
	Compound	ICD-11:2A90.6	Disease	Sugemalimab	Extranodal NK/T-cell Lymphoma	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2A90.6	DDZ48Y
	Compound	ICD-11:1C1C	Disease	Bexsero	Meningococcal infection	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1C1C	DD8QK9
	Compound	ICD-11:5C51.2	Disease	Lumasiran	Hyperoxaluria	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:5C51.2	DD1GK8
	Compound	ICD-11:2A81	Disease	Epcoritamab	Diffuse large B-cell lymphoma	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2A81	DB4M9J
	Compound	ICD-11:2C92.0	Disease	Enfortumab vedotin	Urothelial carcinoma	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2C92.0	DAG87H
	Compound	ICD-11:2C94	Disease	Enfortumab vedotin	Bladder cancer	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2C94	DAG87H
	Compound	ICD-11:5A11	Disease	Tirzepatide	Type 2 diabetes	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:5A11	DA69JF
	Compound	ICD-11:9B71.02	Disease	Faricimab	Diabetic macular edema	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:9B71.02	D9MWL4
	Compound	ICD-11:9B78.3Z	Disease	Faricimab	Neovascular age-related macular degeneration	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:9B78.3Z	D9MWL4
	Compound	ICD-11:CA21	Disease	Zemaira	Emphysema	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:CA21	D9EC0G
	Compound	ICD-11:1D6Y	Disease	GSK4182136	Coronavirus Disease 2019 (COVID-19)	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1D6Y	D98EUL
	Compound	ICD-11:5C56.21	Disease	Velmanase alfa	Alpha-mannosidosis	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:5C56.21	D96DLV
	Compound	ICD-11:5A61.3	Disease	Somatrogon	Growth hormone deficiency	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:5A61.3	D93JXG
	Compound	ICD-11:2B6B	Disease	Toripalimab	Nasopharyngeal cancer	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2B6B	D92OCI
	Compound	ICD-11:2C30	Disease	Toripalimab	Melanoma	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2C30	D92OCI
	Compound	ICD-11:2C92.0	Disease	Toripalimab	Urothelial carcinoma	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2C92.0	D92OCI
	Compound	ICD-11:2E60.1	Disease	Toripalimab	Esophageal squamous cell carcinoma	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2E60.1	D92OCI
	Compound	ICD-11:NA0Z	Disease	PrabotulinumtoxinA	Glabellar frown line	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:NA0Z	D90GKY
	Compound	ICD-11:EC3Z	Disease	Filsuvez	Epidermolysis bullosa	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:EC3Z	D8SU9N
	Compound	ICD-11:5C80.00	Disease	Evolocumab	Heterozygous familial hypercholesterolemia	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:5C80.00	D8MNH5
	Compound	ICD-11:5C80.00	Disease	Evolocumab	Homozygous familial hypercholesterolemia	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:5C80.00	D8MNH5
	Compound	ICD-11:2A81	Disease	Loncastuximab tesirine	Diffuse large B-cell lymphoma	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2A81	D8L5PA
	Compound	ICD-11:2A80	Disease	Loncastuximab tesirine	Follicular lymphoma	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2A80	D8L5PA
	Compound	ICD-11:3B10.0	Disease	Jivi	Haemophilia A	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:3B10.0	D8B9KJ
	Compound	ICD-11:9B75	Disease	Avacincaptad pegol	Geographic atrophy	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:9B75	D75AZJ
	Compound	ICD-11:1D6Y	Disease	Comirnaty	Coronavirus Disease 2019 (COVID-19)	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1D6Y	D71UXY
	Compound	ICD-11:5C51.3	Disease	Cipaglucosidase alfa	Pompe disease	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:5C51.3	D67KYA
	Compound	ICD-11:9B78.3Z	Disease	Brolucizumab	Wet age-related macular degeneration	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:9B78.3Z	D5DO9L
	Compound	ICD-11:9B71.02	Disease	Brolucizumab	Diabetic macular edema	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:9B71.02	D5DO9L
	Compound	ICD-11:2A83	Disease	Belantamab mafodotin	Multiple myeloma	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2A83	D52NZX
	Compound	ICD-11:3B12	Disease	Vonvendi	Von willebrand disease	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:3B12	D4Y0SB
