source_id	source_type	target_id	target_type	source_name	target_name	relation_type	resource	ttd_target_id	ttd_source_id
PUBCHEM:9831643	Compound	ICD-11:EC90	Disease	Maralixibat	Pruritus	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:EC90	DZB84T
PUBCHEM:9831643	Compound	ICD-11:5C58.03	Disease	Maralixibat	Progressive familial intrahepatic cholestasis	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:5C58.03	DZB84T
PUBCHEM:9831643	Compound	ICD-11:LB20.0Y	Disease	Maralixibat	Alagille syndrome	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:LB20.0Y	DZB84T
PUBCHEM:129269915	Compound	ICD-11:2B33.5	Disease	Pirtobrutinib	Non-hodgkin lymphoma	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2B33.5	DXP04H
PUBCHEM:129269915	Compound	ICD-11:2A82.0	Disease	Pirtobrutinib	Chronic lymphocytic leukaemia	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2A82.0	DXP04H
PUBCHEM:129269915	Compound	ICD-11:2A82.0	Disease	Pirtobrutinib	Small lymphocytic lymphoma	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2A82.0	DXP04H
PUBCHEM:5374694	Compound	ICD-11:MG52.00	Disease	Perchlozone	Multi-drug resistant tuberculosis	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:MG52.00	DX7M4S
PUBCHEM:117604931	Compound	ICD-11:GA30	Disease	Fezolinetant	Hot flushes	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:GA30	DUS06I
PUBCHEM:138611145	Compound	ICD-11:2C25	Disease	Adagrasib	Non-small-cell lung cancer	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2C25	DUQV41
PUBCHEM:138611145	Compound	ICD-11:2C25.Y	Disease	Adagrasib	Non-small-cell lung cancer	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2C25.Y	DUQV41
PUBCHEM:11962412	Compound	ICD-11:8A68.0	Disease	Cenobamate	Complex partial seizure	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:8A68.0	DU8CF6
PUBCHEM:72165228	Compound	ICD-11:2A20	Disease	Asciminib	Chronic myeloid leukaemia	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2A20	DSHT18
PUBCHEM:65947	Compound	ICD-11:GC08	Disease	Prulifloxacin	Urinary tract infection	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:GC08	DR36YB
PUBCHEM:137528262	Compound	ICD-11:4A00.14	Disease	Berotralstat	Hereditary angioedema	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:4A00.14	DQ1S0B
PUBCHEM:56494	Compound	ICD-11:N.A.	Disease	Fluorodopa F 18	Diagnostic imaging	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:N.A.	DNF9L1
PUBCHEM:77050711	Compound	ICD-11:1F23.10	Disease	Oteseconazole	Vulvovaginal Candidiasis	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1F23.10	DM8BN1
PUBCHEM:77050711	Compound	ICD-11:EE12.1	Disease	Oteseconazole	Onychomycosis	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:EE12.1	DM8BN1
PUBCHEM:90467622	Compound	ICD-11:3A21.0	Disease	Iptacopan	Paroxysmal nocturnal haemoglobinuria	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:3A21.0	DJ48HT
PUBCHEM:90467622	Compound	ICD-11:MF8Y	Disease	Iptacopan	IgA nephropathy	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:MF8Y	DJ48HT
PUBCHEM:118607832	Compound	ICD-11:2C25	Disease	Mobocertinib	Non-small-cell lung cancer	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2C25	DI4HA7
PUBCHEM:57495353	Compound	ICD-11:2B72	Disease	Leniolisib	Stomach cancer	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2B72	DGO2C1
PUBCHEM:57495353	Compound	ICD-11:4A43.20	Disease	Leniolisib	Sjogren syndrome	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:4A43.20	DGO2C1
PUBCHEM:119058042	Compound	ICD-11:5C58.11	Disease	Givosiran	Acute intermittent hepatic porphyria	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:5C58.11	DF36DY
PUBCHEM:10153627	Compound	ICD-11:EC90	Disease	Odevixibat	Pruritus	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:EC90	DEWC27
PUBCHEM:10153627	Compound	ICD-11:LB20.0Y	Disease	Odevixibat	Alagille syndrome	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:LB20.0Y	DEWC27
PUBCHEM:126961379	Compound	ICD-11:5A41	Disease	Dasiglucagon	Hypoglycemia	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:5A41	DE5N3K
PUBCHEM:126961379	Compound	ICD-11:5A4Y	Disease	Dasiglucagon	Hyperinsulinemia	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:5A4Y	DE5N3K
PUBCHEM:154572876	Compound	ICD-11:N.A.	Disease	PSMA-11 Ga-68	Diagnostic imaging	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:N.A.	DBG46D
PUBCHEM:124220636	Compound	ICD-11:N.A.	Disease	Copper dotatate Cu-64	Diagnostic imaging	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:N.A.	D9E6KQ
PUBCHEM:91668186	Compound	ICD-11:2C60-2C65	Disease	Sacituzumab govitecan	Breast cancer	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2C60-2C65	D8LAE2
PUBCHEM:91668186	Compound	ICD-11:2C92.0	Disease	Sacituzumab govitecan	Urothelial carcinoma	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2C92.0	D8LAE2
PUBCHEM:91668186	Compound	ICD-11:2C25	Disease	Sacituzumab govitecan	Non-small-cell lung cancer	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2C25	D8LAE2
PUBCHEM:129894493	Compound	ICD-11:5A61.3	Disease	Somapacitan	Growth hormone deficiency	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:5A61.3	D7S9LP
PUBCHEM:15664	Compound	ICD-11:1G00.0	Disease	Abametapir	Head and body lice	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1G00.0	D5IS6V
PUBCHEM:9892071	Compound	ICD-11:CA45	Disease	Tebipenem pivoxil	Respiratory tract infection	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:CA45	D4LOR2
PUBCHEM:23663870	Compound	ICD-11:7A20	Disease	Sodium oxybate	Narcolepsy	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:7A20	D40IXR
PUBCHEM:138059678	Compound	ICD-11:1C62	Disease	Lenacapavir	Human immunodeficiency virus-1 infection	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1C62	D24GYL
PUBCHEM:138059678	Compound	ICD-11:1C62	Disease	Lenacapavir	Human immunodeficiency virus infection	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1C62	D24GYL
PUBCHEM:44241743	Compound	ICD-11:6A20	Disease	lumateperone tosylate	Schizophrenia	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:6A20	D1CWL0
PUBCHEM:3598	Compound	ICD-11:1A00-1C4Z	Disease	Hexachlorophene	Bacterial infection	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1A00-1C4Z	D0ZX2G
PUBCHEM:59693	Compound	ICD-11:2C60-2C65	Disease	FADROZOLE	Breast cancer	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2C60-2C65	D0ZX1P
PUBCHEM:152946	Compound	ICD-11:1A00-1C4Z	Disease	Moxifloxacin	Bacterial infection	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1A00-1C4Z	D0ZV0Z
PUBCHEM:392622	Compound	ICD-11:1C62	Disease	Ritonavir	Human immunodeficiency virus infection	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1C62	D0ZU9R
PUBCHEM:2801	Compound	ICD-11:6A70-6A7Z	Disease	Clomipramine	Depression	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:6A70-6A7Z	D0ZS8P
PUBCHEM:72941734	Compound	ICD-11:N.A.	Disease	Technetium Tc-99m Apcitide	Radioactive tracer	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:N.A.	D0ZS6R
PUBCHEM:7758	Compound	ICD-11:1A9Y	Disease	Gardasil	Human papillomavirus infection	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1A9Y	D0ZK8H
PUBCHEM:56972160	Compound	ICD-11:EC90	Disease	(S)-(+)-Dimethindene maleate	Pruritus	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:EC90	D0ZJ1C
PUBCHEM:5282205	Compound	ICD-11:CA02-CB40	Disease	Ornoprostil	Ulcer	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:CA02-CB40	D0ZI4H
PUBCHEM:5282205	Compound	ICD-11:DA42	Disease	Ornoprostil	Gastritis	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:DA42	D0ZI4H
PUBCHEM:5735	Compound	ICD-11:7A00-7A0Z	Disease	Zopiclone	Insomnia	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:7A00-7A0Z	D0ZB7K
PUBCHEM:31640	Compound	ICD-11:6B00-6B0Z	Disease	Halazepam	Anxiety disorder	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:6B00-6B0Z	D0Z9VB
PUBCHEM:24066	Compound	ICD-11:1C62	Disease	Zalcitabine	Human immunodeficiency virus infection	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1C62	D0Z9QR
PUBCHEM:6284	Compound	ICD-11:CA08.0	Disease	Isopropamide iodide	Allergic rhinitis	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:CA08.0	D0Z9PX
PUBCHEM:3487	Compound	ICD-11:7A00-7A0Z	Disease	Glutethimide	Insomnia	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:7A00-7A0Z	D0Z9NZ
PUBCHEM:114586	Compound	ICD-11:2A00-2F9Z	Disease	Sarkomycin	Solid tumour/cancer	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2A00-2F9Z	D0Z8SF
PUBCHEM:39765	Compound	ICD-11:MB47.3	Disease	Vecuronium	Spasm	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:MB47.3	D0Z8HG
PUBCHEM:18283	Compound	ICD-11:1C62	Disease	Stavudine	Human immunodeficiency virus infection	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1C62	D0Z8EX
PUBCHEM:24808	Compound	ICD-11:1A24-1D9Z	Disease	Chromic Chloride	Virus infection	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1A24-1D9Z	D0Z8AE
PUBCHEM:2365	Compound	ICD-11:N.A.	Disease	Propiolactone	Sterilant	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:N.A.	D0Z8AA
PUBCHEM:135398744	Compound	ICD-11:4A00.14	Disease	Rhucin	Hereditary angioedema	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:4A00.14	D0Z7ZM
PUBCHEM:135398744	Compound	ICD-11:HA01.1	Disease	Rhucin	Erectile dysfunction	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:HA01.1	D0Z7ZM
PUBCHEM:3784	Compound	ICD-11:BA00-BA04	Disease	Isradipine	Hypertension	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:BA00-BA04	D0Z7KE
PUBCHEM:3784	Compound	ICD-11:1F00	Disease	Isradipine	Herpes simplex virus infection	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1F00	D0Z7KE
PUBCHEM:5358	Compound	ICD-11:8A80	Disease	Sumatriptan	Migraine	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:8A80	D0Z6UC
PUBCHEM:2467	Compound	ICD-11:BD4Z	Disease	Buflomedil	Peripheral vascular disease	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:BD4Z	D0Z6ST
PUBCHEM:62867	Compound	ICD-11:6A20	Disease	Pipotiazine	Schizophrenia	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:6A20	D0Z6QG
PUBCHEM:23665770	Compound	ICD-11:2E81-2F2Y	Disease	Sodium Tetradecyl Sulfate	Hemangioma	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2E81-2F2Y	D0Z5SM
PUBCHEM:23665770	Compound	ICD-11:BD74.1	Disease	Sodium Tetradecyl Sulfate	Varicose and spider veins of leg	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:BD74.1	D0Z5SM
PUBCHEM:159600	Compound	ICD-11:9A78.6	Disease	Fentanyl/droperidol	Anaesthesia	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:9A78.6	D0Z5QI
PUBCHEM:17925	Compound	ICD-11:6B00-6B0Z	Disease	Delorazepam	Anxiety disorder	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:6B00-6B0Z	D0Z5OV
PUBCHEM:4211	Compound	ICD-11:2D11.Z	Disease	Mitotane	Adrenocortical carcinoma	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2D11.Z	D0Z5OE
PUBCHEM:1548887	Compound	ICD-11:FA20	Disease	Sulindac	Rheumatoid arthritis	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:FA20	D0Z5IU
PUBCHEM:27447	Compound	ICD-11:1A00-1C4Z	Disease	Cephalexin	Bacterial infection	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:1A00-1C4Z	D0Z5EM
PUBCHEM:5634	Compound	ICD-11:EA80-EA89	Disease	Undecylenic acid	Dermatitis	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:EA80-EA89	D0Z5BC
PUBCHEM:68873	Compound	ICD-11:QA21	Disease	Drospirenone	Contraception	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:QA21	D0Z4ZT
PUBCHEM:60699	Compound	ICD-11:2C25.Y	Disease	Topetecan	Small-cell lung cancer	DRUGBANK::treats::Compound:Disease	TTD	ICD-11:2C25.Y	D0Z4XW
