ttd_target_id	source_id	source_name	source_type	target_type	relation_type	ttd_source_id	resource	target_id	target_name
T47101		AM-001	Compound	Gene	DRUGBANK::target::Compound:Gene	D08DFF	TTD	SYMBOL:FGFR1	Fibroblast growth factor receptor 1 (FGFR1)
T47101		FGF-1	Compound	Gene	DRUGBANK::target::Compound:Gene	D08ZHL	TTD	SYMBOL:FGFR1	Fibroblast growth factor receptor 1 (FGFR1)
T47101		FP-1039	Compound	Gene	DRUGBANK::target::Compound:Gene	D0U2DO	TTD	SYMBOL:FGFR1	Fibroblast growth factor receptor 1 (FGFR1)
T47101		MK-3655	Compound	Gene	DRUGBANK::target::Compound:Gene	DR8CM0	TTD	SYMBOL:FGFR1	Fibroblast growth factor receptor 1 (FGFR1)
T47101		NGM313	Compound	Gene	DRUGBANK::target::Compound:Gene	D0DJ0S	TTD	SYMBOL:FGFR1	Fibroblast growth factor receptor 1 (FGFR1)
T47101		Anti-FGFR1 mab program	Compound	Gene	DRUGBANK::target::Compound:Gene	D00JZS	TTD	SYMBOL:FGFR1	Fibroblast growth factor receptor 1 (FGFR1)
T47101		SAR-106881	Compound	Gene	DRUGBANK::target::Compound:Gene	D01AVF	TTD	SYMBOL:FGFR1	Fibroblast growth factor receptor 1 (FGFR1)
T59328		Necitumumab	Compound	Gene	DRUGBANK::target::Compound:Gene	D03WPP	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		HEGF	Compound	Gene	DRUGBANK::target::Compound:Gene	D05GGP	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		Panitumumab	Compound	Gene	DRUGBANK::target::Compound:Gene	D0HU9H	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		Cetuximab	Compound	Gene	DRUGBANK::target::Compound:Gene	D0N5OV	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		Amivantamab	Compound	Gene	DRUGBANK::target::Compound:Gene	DQ5X1Z	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		Rindopepimut	Compound	Gene	DRUGBANK::target::Compound:Gene	D05FRP	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		SYM-004	Compound	Gene	DRUGBANK::target::Compound:Gene	D0CR8H	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		DE-766	Compound	Gene	DRUGBANK::target::Compound:Gene	D0FJ1W	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		Zalutumumab	Compound	Gene	DRUGBANK::target::Compound:Gene	D0R4PW	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		ASP1929	Compound	Gene	DRUGBANK::target::Compound:Gene	DWK96T	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		A140	Compound	Gene	DRUGBANK::target::Compound:Gene	DXZ31K	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		Bevacizumab + Erlotinib	Compound	Gene	DRUGBANK::target::Compound:Gene	D09BKY	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		Indium-111	Compound	Gene	DRUGBANK::target::Compound:Gene	D0F3KC	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
