Biomarker ID	Biomarker Name	UniProt ID
BM002188	Monocyte chemoattractantprotein-1 (MCP-1)	
BM000711	Muscle-specific kinase (MuSK) antibody	
BM002220	Muscle-specific kinase (MuSK) antibody	
BM002933	Vascular cell adhesion molecule (sVCAM)	
BM002750	Transforming growth factor b (TGF-b)	
BM002346	Nuclear factor of k light polypeptide gene enhancer in B-cells inhibitor	
BM000399	Homocysteine	
BM002558	Homocysteine	
BM000401	sEng	
BM000671	3-cholorotyrosine	
BM000922	Bombesin-like peptide	
BM000271	Carbon monoxide	
BM000352	Endothelial colony-forming cells	
BM000353	Eosinophilic cationic protein	
BM000461	KL-6	
BM000483	Microbes	
BM000506	N-terminal pro-B-type natriuretic peptide (NT-pro-BNP)	
BM002640	Regulated upon activation of normal T cell expressed and secreted (RANTES)	
BM000559	spectrophotometry	
BM000577	Thymus	
BM000602	unconjugated estriol	
BM000687	8-hydroxy-2-deoxyguanosine (8-OHdG)	
BM000913	NT-proBNP	
BM000911	NT-proBNP	
BM000917	NT-proBNP	
BM001983	iL-1R1	
BM001984	L-1I	
BM002569	pro-ANP	
BM001216	Creatinine	
BM000965	Carbonyl sulfide	
BM002474	Peptide/proteome panels	
BM000016	calcium	
BM000017	phosphorus	
BM000018	potassium	
BM003147	MHCclass II protein	
BM003120	CCR5 mRNA	
BM003121	IFN-(+) CD4 T-cells	
BM003124	CD4(+)CD25(+) T cells	
BM003123	CD4(+)CD25(+)FoxP3(+) T cells	
BM003122	CD8(+)CD28(-) T cells	
BM003126	CD3(+)CD4(+) T lymphocytes	
BM003125	CD3(+)CD8(+) T lymphocytes	
BM003127	CCR5 Mrna	
BM003118	miR-202	
BM003117	miR-206	
BM003116	miR-342-5p	
BM003115	miR-487b	
BM003114	miR-576-5p	
BM000676	4-MDRD	
BM001118	CKD-EPI	
BM001150	Cockcroft-Gault	
BM001215	Creatinine	
BM001569	Glomerular filtration rate	
BM003092	Glomerular filtration rate (GFR)	
BM002272	HNL	
BM002240	N-Acetyl--D-Glucosaminidase (NAG)	
BM002511	Phosphate	
BM002513	phosphorus tubular reabsorption (RTP)	
BM002599	proteins	
BM003089	CD163/CD16 coexpression	
BM003090	Perforin-expressing HIV-specific CD8 T cells	
BM003099	CD28+ and CD45RA+ CD8+ cells	
BM003096	CD45RO+ CD8+ cells	
BM003091	HLA-DR+-CD3+, CD4+, and CD8+ cells	
BM003093	CD8+ T cells	
BM003101	CD28- cells	
BM003094	CD8+ cells	
BM003100	CD28- memory CD8+ T cells	
BM003095	CD57+ memory CD8+ T cells	
BM003098	CD4(+) T-lymphocyte	
BM003097	CD4/CD8 ratio	
BM003103	CD127(-) CD45RA(-)CD27(+) CD8 T cell	
BM003102	CD127(+) cells	
BM003104	BDCA-1(+) dendritic cells	
BM003106	ACTH/beta-endorphin ratio	
BM003105	ACTH/cortisol ratio	
BM003140	Envelope glycoprotein complex	
BM003141	Tumor necrosis factor receptor	
BM003142	HLA-DR	
BM003143	IL2R	
BM003067	Phytohemagglutinin	
BM003071	CD56+CD11a+ cells	
BM003070	CD56+CD3- cells	
BM003069	CD56+CD3+ cells	
BM003068	CD56+TIA-1+ cells	
BM003072	CD14(+) HLA-DR(+) monocytes	
BM003073	CD8 T cells co-expressing activation marker HLA-DR, Q, P, and cytolytic granule protein-Tia-1	
BM003135	HLA class I	
BM003136	Protein disulfide isomerase	
BM003128	CD8+ T cells	
BM003150	MHC-I	
BM003151	MHC-II	
BM003066	CD4(+) T cells	
BM003065	CD8(+) T cells	
BM003134	MHC class II	
BM003107	HLA-DRalpha Mrna	
BM003108	CD8(+) T cells	
BM003137	Fatty acid binding protein	
BM003074	Lipopolysaccharide	
BM003075	CTLA-4+49A/G polymorphism	
BM003076	CD68+ cells	
BM003077	CD5+ B-cells	
BM003078	CD4+CD25+ regulatory T cells	
BM003079	CD137natural ligand	
BM003084	HepaticCD56(+) T cells	
BM003080	V alpha 24(+) natural killer T cells	
BM003088	Antinuclear antibodies with the homogeneous pattern	
BM003081	Smooth muscle antibodies with antiactin specificity	
BM003082	IL28Bpolymorphisms	
BM003083	Hepatitis Cvirus-specificCD4(+) T-cell	
BM003085	CD8(+)CD28(-) T cells	
BM003086	CD68positive cells	
BM003087	CD56(+)CD3(-) cells	
BM003138	Interleukin-2receptor	
BM003139	Tumor necrosis factorreceptor	
BM003129	CD4+ cell	
BM003144	Hemagglutinin protein	
BM003145	MHCclass II protein	
BM003146	Interleukin-2 receptor	
BM003056	TNFR1mRNA	
BM003057	Procalcitonin	
BM003058	CD8+ T cells	
BM003059	CCR6+ IL-17-producing T cells	
BM003111	Type 2 cytokine-producing CD4-/CD8- cells	
BM003112	CD4(+)CD25(+)Foxp3(+) Tregs	
BM003062	miR-1	
BM003061	miR-133	
BM003060	miR-208	
BM003063	CD27+CD28+CD8+ T cells	
BM003064	CD15s+Treg cells	
BM003130	Atrial natriuretic peptide	
BM003131	Antigen 13	
BM003132	Procollagen type I carboxy-terminal propeptide	
BM003133	Procollagen type III amino-terminal propeptide	
BM003110	CD4+ blast T cells	
BM003109	CD8+ blast T cells	
BM000008	sand fly saliva antibodies	
BM003113	N-Acetyltyramine-O,-glucuronide (NATOG)	
BM000494	MR-proadrenomedullin	
BM003119	Procalcitonin	
BM003148	IgM	
BM003149	Interleukin-2 receptor	
BM001182	ACTH	
BM001183	Cortisol	
BM001184	Epinephrine	
BM001185	Norepinephrine	
BM001868	Neopterin	
BM003042	ABL	
BM000044	macrophage; T-cell	
BM000045	sclerosis	
BM003048	12 genes	
BM000190	p53, ras, thymidine synthase, dihydropyrimidine dehydrogenase, thymidine phospho rylase, microsatellite instability, 18q loss of heterozygosity, deleted in colon cancer (DCC) protein	
BM000024	thymidylate synthase-enhancer region (TYMS-ER), thymidylate synthase 1494 (TYMS- 1494), dihydropyrimidine dehydrogenase (DPYD), methylenetetrahydrofolate reducta se (MTHFR), mutL homolog 1 (MLH1), UDP glucuronyltransferase (UGT1A1), ATP-binding cassette group B gene 1 (ABCB1), x-ray cross-complementing group 1 (XRCC1), g lutathione-S-transferase P1 (GSTP1), excision repair cross-complementing gene 2 (ERCC2)	
BM000191	CA 19-9	
BM002299	Nitrite	
BM000200	CA 15-3	
BM000202	Carcinoembryonic antigen	
BM000208	DNA/ploidy by flow cytometry, p53, cathepsin D, cyclin E, bone marrow micrometas tases, circulating tumor cells	
BM000205	Human epidermal growth factor receptor 2	
BM000029	estrogen receptor, progesterone receptor, HER-2, CK5/6, epidermal growth factor receptor.	
BM000014	30-gene predictor (DLDA-30)	
BM001143	CMV	
BM001572	Glucocorticoids	
BM001715	HPC	
BM002699	SNS	
BM003047	70 genes (MammaPrint)	
BM002880	transthyretin, apolipoprotein A-1, beta2-microglobulin, transferrin, cancer anti gen 125	
BM001806	IL-1Ra	
BM000033	IAUC(90)	
BM000034	K(trans)	
BM001505	bone marrow	
BM001507	red cell morphology	
BM001508	serum iron	
BM002626	Hematocrit packed cell volume	
BM002627	mean corpuscular hemoglobin concentration (MCHC)	
BM002628	mean corpuscular volume (MCV)	
BM002629	red blood cell	
BM002630	red cell distribution width (RDW)	
BM002631	reticulocyte count	
BM002632	reticulocyte proliferation index (RPI)	
BM000803	Anti-endothelial cell antibodies (AECA)	
BM001023	CD14+ producing circulating monocytesi CD45+ producing circulating monocytesi i collagen I producing circulating monocytes	
BM001026	CD19	
BM000449	Isoprostanes	
BM000992	MCP-1	
BM002167	MMP-9 (gelatinase B)	
BM001329	DAS-28	
BM001804	IL-1Ra	
BM001850	iL-6	
BM002653	RF	
BM001424	eosinophil	
BM001047	CD8, IL2R, TNFR1	
BM001669	HGF, IL2R, IL-8, TNFR1	
BM002677	sFas	
BM002678	sFas	
BM002901	Tryptophan metabolites	
BM000902	Bis(monoacylglycero)phosphate	
BM000927	Brain MRI images	
BM000928	Brain MRI images	
BM001588	Glycosaminoglycans	
BM001589	Glycosaminoglycans	
BM001590	Glycosaminoglycans	
BM001591	Glycosaminoglycans	
BM001592	Glycosaminoglycans	
BM001593	Glycosaminoglycans	
BM001594	Glycosaminoglycans	
BM001616	Hair morphology	
BM002366	Oligosaccharides	
BM002367	Oligosaccharides	
BM002368	Oligosaccharides	
BM001355	Dopamine metabolite	
BM001408	Electrophysiologicalsignatures	
BM001409	Extrapyramidal signs	
BM001410	Impairments in cognitive tests	
BM001411	Sedation	
BM000774	Amyloid peptide	
BM000377	Glucose	
BM000378	Lipid	
BM000379	Glycine	
BM001595	GlyT1 ligand [3H] RO5013853	
BM000183	age	
BM002621	quantitative electroencephalography (EEG)	
BM002743	sTNFRI	
BM000775	amyloid I42	
BM002487	Perfusion SPECT	
BM002745	Structural MRI	
BM000777	Tau protein	
BM000702	Ab	
BM000703	Ab	
BM000704	Ab	
BM000971	Cardiac autonomic dysfunction	
BM000972	Cardiac autonomic dysfunction	
BM000973	Cardiac autonomic dysfunction	
BM001090	Cholinergic function	
BM001091	Cholinergic function	
BM001092	Cholinergic function	
BM001093	Cholinergic function	
BM001497	FDG network	
BM001498	FDG network	
BM001499	FDG network	
BM001500	FDG network	
BM001584	Glutathione	
BM002194	iron deposit)	
BM002196	iron deposit)	
BM002198	iron deposit)	
BM002200	iron deposit)	
BM002195	MRI (DWI	
BM002197	MRI (DWI	
BM002199	MRI (DWI	
BM002201	MRI (DWI	
BM000586	Transcranial sonography (TCS)	
BM000587	Transcranial sonography (TCS)	
BM000588	Transcranial sonography (TCS)	
BM002925	Uric acid	
BM002926	Uric acid	
BM000616	[11C]dMP	
BM000617	[11C]dMP	
BM000618	[11C]DTBZ	
BM000619	[11C]DTBZ	
BM000620	[11C]DTBZ	
BM000621	[11C]RAC	
BM000622	[11C]RAC	
BM000623	[123I]-2I-carbomethoxy-3I-(4-iodophenyl tropane) ([123I]b-CIT)	
BM000624	[123I]-2I-carbomethoxy-3I-(4-iodophenyl)-N-(3-fluoropropyl)-N-tropane ([123I]F P-CIT)	
BM000625	[123I]b-CIT	
