Biomarker ID	Biomarker Name	Disease	ICD Code	Biomarker Type	Conclusion	UniProt ID	REF 1	Biomarker Location	Specific Aim	Molecular Type	Biomarker Measure	Treatment	Specific Conclusion	Biomarker Phase	Objective	Research Method	Research Results
BM003549	Neutrophil gelatinase-associated lipocalin (LCN2)	Smallpox	ICD-11: 1E70 ; ICD-10: B03	Differentiation	Our re-analysis of more than 5.5 million data points, including 18,000 human genes, identified a transcriptional network that represented early infection biomarkers (EIB) with gene profile patterns similar across the animals used in this study.	P80188	Transcriptional interactions during smallpox infection and identification of early infection biomarkers. Pac Symp Biocomput. 2007:100-11. Pac Symp Biocomput. 2007:100-11.										
BM002188	Monocyte chemoattractantprotein-1 (MCP-1)	Amyotrophic lateral sclerosis	ICD-11: 8B60.0 ; ICD-9: 335.2	Differentiation			CSF markers in amyotrophic lateral sclerosis. J Neural Transm (Vienna). 2012 Jul;119(7):747-57.	CSF	Inflammation and immune activation								
BM001695	HLA class I histocompatibility antigen, B-8 alpha chain (HLA-B)	Myasthenia gravis	ICD-11: 8C6Y ; ICD-10: G70.0 ; ICD-9: 358	Diagnostic	HLA-B8 and DR3 alleles are increased in patients with MG when compared with the general population;	P30460	Biomarker development for myasthenia gravis. Ann N Y Acad Sci. 2012 Dec;1275:101-6.			Gene: allele	Elevated level						
BM000711	Muscle-specific kinase (MuSK) antibody	Myasthenia gravis	ICD-11: 8C6Y ; ICD-10: G70.0 ; ICD-9: 358	Diagnostic	Detection of acetylcholine receptor (AChR) or muscle-specific kinase (MuSK) anti bodies is highly specific for confirming the diagnosis of MG; however, their abs olute levels do not correlate with disease severity		Biomarker development for myasthenia gravis. Ann N Y Acad Sci. 2012 Dec;1275:101-6.										
BM002220	Muscle-specific kinase (MuSK) antibody	Myasthenia gravis	ICD-11: 8C6Y ; ICD-10: G70.0 ; ICD-9: 358	Prognostic; theragnostic	The therapeutic usefulness of biomarkers in guiding treatment decisions is illus trated by the identification ofMuSK antibodies, which correlate with poor respon se to cholinesterase inhibitor treatment and often predict refractoriness to oth er treatment approaches. However, such observations have been drawn from retrosp ective analyses		Biomarker development for myasthenia gravis. Ann N Y Acad Sci. 2012 Dec;1275:101-6.		Poor response			cholinesterase inhibitor					
BM002933	Vascular cell adhesion molecule (sVCAM)	Cardiovascular disease	ICD-11: BA00-BE2Z ; ICD-10: I00-I99	Antecedent			Genetic markers of inflammation and their role in cardiovascular disease. Can J Cardiol. 2013 Jan;29(1):67-74.										
BM002691	Sodium/myo-inositol cotransporter (SLC5A3)	Coronary artery disease	ICD-11: BA80 ; ICD-10: I25.1, I25.4	Antecedent		P53794	Circulating, imaging, and genetic biomarkers in cardiovascular risk prediction. Trends Cardiovasc Med. 2011 May;21(4):105-12.	21q22		Gene: SNP	Rs9982601						
BM002750	Transforming growth factor b (TGF-b)	Asthma	ICD-11: CA23 ; ICD-10: J45, J45.8 ; ICD-9: 493	Diagnostic			Tissue-based and bronchoalveolar lavage-based biomarkers in asthma. Immunol Allergy Clin North Am. 2012 Aug;32(3):401-11.	tissue; BAL	Remodeling phenotype								
BM001941	Keratin, type II cytoskeletal 1 (KRT1)	Psoriasis vulgaris	ICD-11: EA90 ; ICD-9: 696	Diagnostic	Psoriatic keratinocytes downregulate the expression of terminal differentiation markers such as keratin (K)1 and 10	P04264	Biomarkers in psoriasis and psoriatic arthritis. Ann Rheum Dis. 2013 Apr;72 Suppl 2:ii104-10.	keratinocyte		Protein	Reduced level						
BM001696	HLA class I histocompatibility antigen, Cw-6 alpha chain (HLA-C)	Psoriasis vulgaris	ICD-11: EA90 ; ICD-9: 696	Diagnostic		Q29963	Biomarkers in psoriasis and psoriatic arthritis. Ann Rheum Dis. 2013 Apr;72 Suppl 2:ii104-10.			Gene: allele							
BM000396	HLA class II histocompatibility antigen, DRB1-12 beta chain (HLA-DRB1)	Rheumatoid arthritis	ICD-11: FA20	Prognostic		Q95IE3	Genetic markers of cardiovascular disease in rheumatoid arthritis. Mediators Inflamm. 2012;2012:574817.		Atherosclerotic plaque	Gene: polymorphism							
BM001689	HLA class II histocompatibility antigen, DRB1-12 beta chain (HLA-DRB1)	Rheumatoid arthritis	ICD-11: FA20	Prognostic		Q95IE3	Genetic markers of cardiovascular disease in rheumatoid arthritis. Mediators Inflamm. 2012;2012:574817.		Mortality;CV events	Gene: polymorphism							
BM001690	HLA class II histocompatibility antigen, DRB1-12 beta chain (HLA-DRB1)	Rheumatoid arthritis	ICD-11: FA20	Prognostic		Q95IE3	Genetic markers of cardiovascular disease in rheumatoid arthritis. Mediators Inflamm. 2012;2012:574817.		CV mortality	Gene: polymorphism							
BM001691	HLA class II histocompatibility antigen, DRB1-12 beta chain (HLA-DRB1)	Rheumatoid arthritis	ICD-11: FA20	Prognostic		Q95IE3	Genetic markers of cardiovascular disease in rheumatoid arthritis. Mediators Inflamm. 2012;2012:574817.		Ischemic heart disease (IHD) mortality	Gene: polymorphism							
BM001692	HLA class II histocompatibility antigen, DRB1-12 beta chain (HLA-DRB1)	Rheumatoid arthritis	ICD-11: FA20	Prognostic		Q95IE3	Genetic markers of cardiovascular disease in rheumatoid arthritis. Mediators Inflamm. 2012;2012:574817.		Lower endothelial-dependent vasodilatation (FWD)	Gene: polymorphism							
BM001693	HLA class I histocompatibility antigen, B-56 alpha chain (HLA-B)	Psoriatic arthritis	ICD-11: FA21 ; ICD-9: 696	Prognostic	HLA gene alleles may distinguish particular patterns of PsA (HLA-B27 with spinal involvement, B38 and B39 with peripheral polyarthritis) or predict disease prog nosis (eg, HLA-B22 is protective for disease progression).25	P30495	Biomarkers in psoriasis and psoriatic arthritis. Ann Rheum Dis. 2013 Apr;72 Suppl 2:ii104-10.		Progression	Gene: allele							
BM002860	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (GBGT1)	Inflammation	ICD-11: 1A00-CA43.1	Diagnostic		Q8N5D6	Genetic markers of inflammation and their role in cardiovascular disease. Can J Cardiol. 2013 Jan;29(1):67-74.		Associated with IL-6 level	Gene: SNP	Rs643434		Strongly linked with O allele rs687289				
BM002862	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (GBGT1)	Inflammation	ICD-11: 1A00-CA43.1	Diagnostic		Q8N5D6	Genetic markers of inflammation and their role in cardiovascular disease. Can J Cardiol. 2013 Jan;29(1):67-74.	Downstream	Associated with P-selectin level	Gene: SNP	Rs579459						
BM002868	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (GBGT1)	Inflammation	ICD-11: 1A00-CA43.1	Diagnostic		Q8N5D6	Genetic markers of inflammation and their role in cardiovascular disease. Can J Cardiol. 2013 Jan;29(1):67-74.	Intron	Associated with ICAM-1 level	Gene: SNP	Rs507666		surrogate marker for A1 blood group				
BM002870	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (GBGT1)	Inflammation	ICD-11: 1A00-CA43.1	Diagnostic		Q8N5D6	Genetic markers of inflammation and their role in cardiovascular disease. Can J Cardiol. 2013 Jan;29(1):67-74.		Associated with ICAM-1 level	Gene: SNP	Rs687289		Surrogate marker for O blood group				
BM001759	Interleukin-1 family member 10 (IL1F10)	Inflammation	ICD-11: 1A00-CA43.1	Diagnostic		Q8WWZ1	Genetic markers of inflammation and their role in cardiovascular disease. Can J Cardiol. 2013 Jan;29(1):67-74.	Downstream	Associated with CRP level	Gene: SNP	Rs6734238						
BM002681	Lymphocyte adaptor protein LNK	Inflammation	ICD-11: 1A00-CA43.1	Diagnostic		Q9UQQ2	Genetic markers of inflammation and their role in cardiovascular disease. Can J Cardiol. 2013 Jan;29(1):67-74.	Nonsynonymous coding	Associated with ICAM-1 level	Gene: SNP	Rs3184504						
BM002346	Nuclear factor of k light polypeptide gene enhancer in B-cells inhibitor	Inflammation	ICD-11: 1A00-CA43.1	Diagnostic			Genetic markers of inflammation and their role in cardiovascular disease. Can J Cardiol. 2013 Jan;29(1):67-74.	Intron	Associated with ICAM-1 level	Gene: SNP	Rs3136642						
BM002551	Poly(A) binding protein	Inflammation	ICD-11: 1A00-CA43.1	Diagnostic		P11940 ; Q86U42 ; Q9H361 ; Q13310 ; Q96DU9	Genetic markers of inflammation and their role in cardiovascular disease. Can J Cardiol. 2013 Jan;29(1):67-74.	Downstream	Associated with CRP level	Gene: SNP	Rs12037222						
BM002713	P-selectin	Inflammation	ICD-11: 1A00-CA43.1	Diagnostic		P16109	Genetic markers of inflammation and their role in cardiovascular disease. Can J Cardiol. 2013 Jan;29(1):67-74.	Nonsynonymous coding	Associated with P-selectin level	Gene: SNP	Rs6136						
BM000054	I-glutamyl transferase (GGT)	Chronic HCV-1 infection	ICD-11: 1E51.1 ; ICD-10: B18.2	Prognostic; theragnostic	GGT is an independent predictor of both virological response and clinical outcom es among patients with advanced liver disease due to HCV.	P19440 ; P36268 ; P36269	Association of -glutamyl transferase (GGT) activity with treatment and clinical outcomes in chronic hepatitis C (HCV). Hepatology. 2013 May;57(5):1725-33.		Response to treatment; clinical outcome	Protein	Elevated level			Clinical trial	To examine GGT as a predictor of both virological response to treatment and long -term clinical outcomes in the Hepatitis C Anti-viral Treatment Against Cirrhosi s Trial (HALT-C).	HALT-C enrolled patients with advanced liver disease (Ishak fibrosis score aY3) in two phases: a lead-in to establish lack of sustained viral response with ful l dose pegylated interferon (IFN) and ribavirin followed by a 3.5-year randomize d trial with low-dose IFN. Low-dose IFN did not prevent liver disease progressio n, and patients were then followed for up to an additional 5 years off therapy.	Analyses were performed for 1,319 patients who had GGT measured prior to initiat ion of treatment. Increases in risk with each increase in quintile of GGT (10-57 , 58-89, 90-139, 140-230, 231-2,000 IU/L) were determined by logistic regression for treatment response or Cox regression for clinical outcomes. Baseline GGT w as associated with male sex, nonwhite ethnicity, diabetes and insulin resistance , interleukin (IL)28B rs12979860 CT and TT genotypes, and numerous markers of li ver disease injury and severity. In the lead-in phase, increasing GGT was strong ly associated with diminished week 20 response, end of treatment response, and s ustained virological response in both univariate and multivariate analyses contr olling for factors known to be associated with treatment response (P < 0.0001). GGT was also associated with all clinical outcomes in univariate and multivariat e analysis (P < 0.05) except for hepatocellular carcinoma (P = 0.46 in multivari ate analysis).
BM000399	Homocysteine	Pre-eclampsia	ICD-11: JA24 ; ICD-10: O14, O14.9	Diagnostic	Increased levels of homocysteine, ADMA, sEng, leptin and sFlt-1 in the 1st trime ster, signal the onset of the disease later in pregnancy.		Biomarkers in pre-eclampsia: a novel approach to early detection of the disease. J Obstet Gynaecol. 2012 Oct;32(7):609-16.				Elevated level						
BM002558	Homocysteine	Pre-eclampsia	ICD-11: JA24 ; ICD-10: O14, O14.9	Monitoring	After the onset of pre-eclampsia, increased serum levels of PAPP-A, ADMA, homocy steine and sFlt-1 are associated with the severity of the disease.		Biomarkers in pre-eclampsia: a novel approach to early detection of the disease. J Obstet Gynaecol. 2012 Oct;32(7):609-16.	serum	Diease severity; progression		Elevated level						
BM000400	Leptin	Pre-eclampsia	ICD-11: JA24 ; ICD-10: O14, O14.9	Diagnostic	Increased levels of homocysteine, ADMA, sEng, leptin and sFlt-1 in the 1st trime ster, signal the onset of the disease later in pregnancy.	P41159	Biomarkers in pre-eclampsia: a novel approach to early detection of the disease. J Obstet Gynaecol. 2012 Oct;32(7):609-16.				Elevated level						
BM000401	sEng	Pre-eclampsia	ICD-11: JA24 ; ICD-10: O14, O14.9	Diagnostic	Increased levels of homocysteine, ADMA, sEng, leptin and sFlt-1 in the 1st trime ster, signal the onset of the disease later in pregnancy.		Biomarkers in pre-eclampsia: a novel approach to early detection of the disease. J Obstet Gynaecol. 2012 Oct;32(7):609-16.				Elevated level						
BM000671	3-cholorotyrosine	Bronchopulmonary dysplasia	ICD-11: KB29.0 ; ICD-10: P27.1 ; ICD-9: 770.7	Antecedent			Biomarkers in bronchopulmonary dysplasia. Paediatr Respir Rev. 2013 Sep;14(3):173-9.	tracheal aspirates									
BM000755	Alpha-fetoprotein	Bronchopulmonary dysplasia	ICD-11: KB29.0 ; ICD-10: P27.1 ; ICD-9: 770.7	Antecedent		P02771	Biomarkers in bronchopulmonary dysplasia. Paediatr Respir Rev. 2013 Sep;14(3):173-9.	Maternal blood									
BM000779	Angiopoietin-2 (ANGPT2)	Bronchopulmonary dysplasia	ICD-11: KB29.0 ; ICD-10: P27.1 ; ICD-9: 770.7	Antecedent		O15123	Biomarkers in bronchopulmonary dysplasia. Paediatr Respir Rev. 2013 Sep;14(3):173-9.	tracheal aspirates									
BM000922	Bombesin-like peptide	Bronchopulmonary dysplasia	ICD-11: KB29.0 ; ICD-10: P27.1 ; ICD-9: 770.7	Antecedent			Biomarkers in bronchopulmonary dysplasia. Paediatr Respir Rev. 2013 Sep;14(3):173-9.	urine						Clinical trial			
BM000271	Carbon monoxide	Bronchopulmonary dysplasia	ICD-11: KB29.0 ; ICD-10: P27.1 ; ICD-9: 770.7	Antecedent			Biomarkers in bronchopulmonary dysplasia. Paediatr Respir Rev. 2013 Sep;14(3):173-9.	breath									
BM000352	Endothelial colony-forming cells	Bronchopulmonary dysplasia	ICD-11: KB29.0 ; ICD-10: P27.1 ; ICD-9: 770.7	Antecedent			Biomarkers in bronchopulmonary dysplasia. Paediatr Respir Rev. 2013 Sep;14(3):173-9.	Cord blood									
BM000353	Eosinophilic cationic protein	Bronchopulmonary dysplasia	ICD-11: KB29.0 ; ICD-10: P27.1 ; ICD-9: 770.7	Antecedent			Biomarkers in bronchopulmonary dysplasia. Paediatr Respir Rev. 2013 Sep;14(3):173-9.	Infant blood									
BM000461	KL-6	Bronchopulmonary dysplasia	ICD-11: KB29.0 ; ICD-10: P27.1 ; ICD-9: 770.7	Antecedent			Biomarkers in bronchopulmonary dysplasia. Paediatr Respir Rev. 2013 Sep;14(3):173-9.	Cord blood; Infant blood									
BM000558	L-selectin	Bronchopulmonary dysplasia	ICD-11: KB29.0 ; ICD-10: P27.1 ; ICD-9: 770.7	Antecedent		P14151	Biomarkers in bronchopulmonary dysplasia. Paediatr Respir Rev. 2013 Sep;14(3):173-9.	Infant blood									
BM002707	L-selectin	Bronchopulmonary dysplasia	ICD-11: KB29.0 ; ICD-10: P27.1 ; ICD-9: 770.7	Antecedent		P14151	Biomarkers in bronchopulmonary dysplasia. Paediatr Respir Rev. 2013 Sep;14(3):173-9.	tracheal aspirates									
BM002025	Lysozyme	Bronchopulmonary dysplasia	ICD-11: KB29.0 ; ICD-10: P27.1 ; ICD-9: 770.7	Antecedent		P61626	Biomarkers in bronchopulmonary dysplasia. Paediatr Respir Rev. 2013 Sep;14(3):173-9.	tracheal aspirates									
BM000483	Microbes	Bronchopulmonary dysplasia	ICD-11: KB29.0 ; ICD-10: P27.1 ; ICD-9: 770.7	Antecedent			Biomarkers in bronchopulmonary dysplasia. Paediatr Respir Rev. 2013 Sep;14(3):173-9.	Gastric fluid									
BM000506	N-terminal pro-B-type natriuretic peptide (NT-pro-BNP)	Bronchopulmonary dysplasia	ICD-11: KB29.0 ; ICD-10: P27.1 ; ICD-9: 770.7	Antecedent			Biomarkers in bronchopulmonary dysplasia. Paediatr Respir Rev. 2013 Sep;14(3):173-9.	Infant blood									
