TTDDRUID	Drug_id
D00AEQ	PUBCHEM:6238
D00AMQ	PUBCHEM:702
D00AOJ	PUBCHEM:12620
D00AWT	PUBCHEM:4747
D00AXJ	PUBCHEM:4189
D00BCG	PUBCHEM:5311128
D00BCP	PUBCHEM:2727
D00BDC	PUBCHEM:72106
D00BLL	PUBCHEM:9849808
D00CSQ	PUBCHEM:5564
D00CTS	PUBCHEM:157920
D00DEF	PUBCHEM:11597698
D00DKK	PUBCHEM:5282379
D00DPJ	PUBCHEM:71927
D00DZN	PUBCHEM:10391
D00EEL	PUBCHEM:3448
D00ENY	PUBCHEM:33032
D00EQL	PUBCHEM:66558664
D00ETS	PUBCHEM:3608
D00FGO	PUBCHEM:460612
D00FGR	PUBCHEM:3599
D00FGV	PUBCHEM:2564
D00FSV	PUBCHEM:5284607
D00GNJ	PUBCHEM:16158208
D00GOS	PUBCHEM:5311052
D00GPQ	PUBCHEM:46224413
D00HCQ	PUBCHEM:60953
D00HDU	PUBCHEM:91270
D00HGB	PUBCHEM:4488
D00HHS	PUBCHEM:7028
D00HNB	PUBCHEM:25419
D00HPK	PUBCHEM:47641
D00HWO	PUBCHEM:19003
D00HZV	PUBCHEM:5584
D00IBN	PUBCHEM:54676228
D00IUG	PUBCHEM:39468
D00JAU	PUBCHEM:3749
D00JRA	PUBCHEM:3036780
D00JVR	PUBCHEM:2267
D00KFB	PUBCHEM:5464025
D00KHM	PUBCHEM:16362
D00KRE	PUBCHEM:22419
D00KRT	PUBCHEM:11967809
D00KVO	PUBCHEM:2082
D00LFB	PUBCHEM:33572
D00MDP	PUBCHEM:466151
D00MIN	PUBCHEM:657298
D00MLW	PUBCHEM:69286
D00MYQ	PUBCHEM:4976
D00MYT	PUBCHEM:3000715
D00NAX	PUBCHEM:4926
D00NJJ	PUBCHEM:656511
D00NJL	PUBCHEM:2799
D00NKB	PUBCHEM:5546
D00NNC	PUBCHEM:3305
D00NPP	PUBCHEM:60855
D00NPT	PUBCHEM:130956
D00NVX	PUBCHEM:132706
D00OAY	PUBCHEM:56840894
D00OVU	PUBCHEM:24965990
