source_id	ttd_source_id	source_name	target_id	target_name	ttd_target_id	source_type	target_type	relation_type	resource
SYMBOL:TGFA	T00033	TGFA	ICD-11:GB61	Chronic kidney disease	ICD-11:GB61	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CTGF	T00039	CTGF	ICD-11:GA14-GC01	Fibrosis	ICD-11:GA14-GC01	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T00100		ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:ALOX5	T00140	ALOX5	ICD-11:DB61-GB90	Thrombosis	ICD-11:DB61-GB90	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:TRPC5	T00156	TRPC5	ICD-11:6A70-6A7Z	Depression	ICD-11:6A70-6A7Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:MDM2	T00176	MDM2	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:NFKB2	T00238	NFKB2	ICD-11:DD71	Ulcerative colitis	ICD-11:DD71	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:IL4	T00239	IL4	ICD-11:4A42	Systemic sclerosis	ICD-11:4A42	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:NR1D1	T00254	NR1D1	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:TNNC2	T00419	TNNC2	ICD-11:8B61	Muscular atrophy	ICD-11:8B61	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:HIV rev	T00420	HIV rev	ICD-11:1C60-1C62	Human immunodeficiency virus disease	ICD-11:1C60-1C62	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:SRR	T00477	SRR	ICD-11:8A20-8A23	Neurodegenerative disorder	ICD-11:8A20-8A23	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:IL23R	T00484	IL23R	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:ABCA1	T00494	ABCA1	ICD-11:5C52	Inborn lipid metabolism error	ICD-11:5C52	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PAWR	T00496	PAWR	ICD-11:DB61-GB90	Thrombosis	ICD-11:DB61-GB90	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:SLC2A9	T00523	SLC2A9	ICD-11:5C55	Inborn purine/pyrimidine/nucleotide metabolism error	ICD-11:5C55	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:MAPK10	T00663	MAPK10	ICD-11:KA40	CNS birth injury	ICD-11:KA40	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:MAP4K1	T00749	MAP4K1	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:FUT3	T00750	FUT3	ICD-11:2C74	Fallopian tube cancer	ICD-11:2C74	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:MAP3K8	T00852	MAP3K8	ICD-11:DD72	Indeterminate colitis	ICD-11:DD72	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CXCR1	T00884	CXCR1	ICD-11:DD71	Ulcerative colitis	ICD-11:DD71	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:HCAR3	T00890	HCAR3	ICD-11:EA90	Psoriasis	ICD-11:EA90	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PRKCE	T00895	PRKCE	ICD-11:1A00-CA43	Postoperative inflammation	ICD-11:1A00-CA43	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:NTF4	T00902	NTF4	ICD-11:8A04-8D87	Central nervous system disease	ICD-11:8A04-8D87	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:TYRP1	T00938	TYRP1	ICD-11:MB47	Tonus and reflex abnormality	ICD-11:MB47	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:HIV gp120	T00972	HIV gp120	ICD-11:1C60-1C62	Human immunodeficiency virus disease	ICD-11:1C60-1C62	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:ERN1	T01003	ERN1	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T01011		ICD-11:2C25	Lung cancer	ICD-11:2C25	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CSF1R	T01110	CSF1R	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T01141		ICD-11:2C12	Liver cancer	ICD-11:2C12	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T01232		ICD-11:QB63	Transplanted organ/tissue	ICD-11:QB63	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:BCR-ABL1	T01271	BCR-ABL1	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:BACE2	T01280	BACE2	ICD-11:MF8Y	Urinary system clinical sympton	ICD-11:MF8Y	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:TSG101	T01283	TSG101	ICD-11:1E30-1E32	Influenza	ICD-11:1E30-1E32	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:Malaria DHOdehase	T01318	Malaria DHOdehase	ICD-11:FA20	Rheumatoid arthritis	ICD-11:FA20	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T01358		ICD-11:2C60-2C6Y	Breast cancer	ICD-11:2C60-2C6Y	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:NAE1	T01447	NAE1	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:UBA3	T01447	UBA3	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:GSTO1	T01521	GSTO1	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:SGPL1	T01575	SGPL1	ICD-11:FA20	Rheumatoid arthritis	ICD-11:FA20	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CAT	T01597	CAT	ICD-11:ME65	Skin sensation disturbance	ICD-11:ME65	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
