source_id	source_type	target_id	target_type	source_name	target_name	relation_type	ttd_gene_id	ttd_pathway_id	resource
SYMBOL:CTGF	Gene	KEGG:hsa04390	Pathway	CTGF	Hippo signaling pathway	Hetionet::GpPW::Gene:Pathway	T00039	hsa04390	TTD
SYMBOL:ALOX5	Gene	KEGG:hsa00590	Pathway	ALOX5	Arachidonic acid metabolism	Hetionet::GpPW::Gene:Pathway	T00140	hsa00590	TTD
SYMBOL:ALOX5	Gene	KEGG:hsa01100	Pathway	ALOX5	Metabolic pathways	Hetionet::GpPW::Gene:Pathway	T00140	hsa01100	TTD
SYMBOL:ALOX5	Gene	KEGG:hsa04726	Pathway	ALOX5	Serotonergic synapse	Hetionet::GpPW::Gene:Pathway	T00140	hsa04726	TTD
SYMBOL:ALOX5	Gene	KEGG:hsa04913	Pathway	ALOX5	Ovarian steroidogenesis	Hetionet::GpPW::Gene:Pathway	T00140	hsa04913	TTD
SYMBOL:ALOX5	Gene	KEGG:hsa05145	Pathway	ALOX5	Toxoplasmosis	Hetionet::GpPW::Gene:Pathway	T00140	hsa05145	TTD
SYMBOL:MDM2	Gene	KEGG:hsa04068	Pathway	MDM2	FoxO signaling pathway	Hetionet::GpPW::Gene:Pathway	T00176	hsa04068	TTD
SYMBOL:MDM2	Gene	KEGG:hsa04110	Pathway	MDM2	Cell cycle	Hetionet::GpPW::Gene:Pathway	T00176	hsa04110	TTD
SYMBOL:MDM2	Gene	KEGG:hsa04115	Pathway	MDM2	p53 signaling pathway	Hetionet::GpPW::Gene:Pathway	T00176	hsa04115	TTD
SYMBOL:MDM2	Gene	KEGG:hsa04120	Pathway	MDM2	Ubiquitin mediated proteolysis	Hetionet::GpPW::Gene:Pathway	T00176	hsa04120	TTD
SYMBOL:MDM2	Gene	KEGG:hsa04144	Pathway	MDM2	Endocytosis	Hetionet::GpPW::Gene:Pathway	T00176	hsa04144	TTD
SYMBOL:MDM2	Gene	KEGG:hsa04151	Pathway	MDM2	PI3K-Akt signaling pathway	Hetionet::GpPW::Gene:Pathway	T00176	hsa04151	TTD
SYMBOL:MDM2	Gene	KEGG:hsa04919	Pathway	MDM2	Thyroid hormone signaling pathway	Hetionet::GpPW::Gene:Pathway	T00176	hsa04919	TTD
SYMBOL:MDM2	Gene	KEGG:hsa05169	Pathway	MDM2	Epstein-Barr virus infection	Hetionet::GpPW::Gene:Pathway	T00176	hsa05169	TTD
SYMBOL:MDM2	Gene	KEGG:hsa05200	Pathway	MDM2	Pathways in cancer	Hetionet::GpPW::Gene:Pathway	T00176	hsa05200	TTD
SYMBOL:MDM2	Gene	KEGG:hsa05202	Pathway	MDM2	Transcriptional misregulation in cancer	Hetionet::GpPW::Gene:Pathway	T00176	hsa05202	TTD
SYMBOL:MDM2	Gene	KEGG:hsa05203	Pathway	MDM2	Viral carcinogenesis	Hetionet::GpPW::Gene:Pathway	T00176	hsa05203	TTD
SYMBOL:MDM2	Gene	KEGG:hsa05205	Pathway	MDM2	Proteoglycans in cancer	Hetionet::GpPW::Gene:Pathway	T00176	hsa05205	TTD
SYMBOL:MDM2	Gene	KEGG:hsa05206	Pathway	MDM2	MicroRNAs in cancer	Hetionet::GpPW::Gene:Pathway	T00176	hsa05206	TTD
SYMBOL:MDM2	Gene	KEGG:hsa05214	Pathway	MDM2	Glioma	Hetionet::GpPW::Gene:Pathway	T00176	hsa05214	TTD
