resource	label	id	name	synonyms	description	xrefs	taxid
WikiPathways	Pathway	WikiPathways:WP100	Glutathione metabolism		Glutathione is a major antioxidant in all forms of life and an indicator of cellular oxidative stress. Reduction by the GSR enzyme utilizes NADPH as an electron donor. In a reduced form, glutathione is metabolized in multiple ways leading to the biosynthesis of mercapturonate, glutamate, glycine, cysteine and other amino acids.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP100 CPTAC Assay Portal]		9606
WikiPathways	Pathway	WikiPathways:WP106	Alanine and aspartate metabolism		Converted from rat to human using ortholog information, originally from KEGG. Originally edited by Sebastien Burel. This pathway describes the metabolism of amino acids alanine and aspartate. Alanine is broken down by oxidative deamination, the inverse reaction of the reductive amination biosynthesis, catalyzed by the same enzymes. Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP106 CPTAC Assay Portal]		9606
WikiPathways	Pathway	WikiPathways:WP107	Translation factors		Protein synthesis is the ultimate step of gene expression and a key control point for regulation. In particular, it enables cells to rapidly manipulate protein production without new mRNA synthesis, processing, or export. This pathway gives an overview of the translation factors involved in this process.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP107 CPTAC Assay Portal].		9606
WikiPathways	Pathway	WikiPathways:WP111	Electron transport chain: OXPHOS system in mitochondria		An electron transport chain(ETC) couples a chemical reaction between an electron donor (such as NADH) and an electron acceptor (such as O2) to the transfer of H+ ions across a membrane, through a set of mediating biochemical reactions. These H+ ions are used to produce adenosine triphosphate (ATP), the main energy intermediate in living organisms, as they move back across the membrane. In mitochondria, it is the conversion of oxygen to water, NADH to NAD+ and succinate to fumarate that drives the transfer of H+ ions.Source: Wikipedia ([[wikipedia:Electron_transport_chain]])Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP111 CPTAC Assay Portal]		9606
WikiPathways	Pathway	WikiPathways:WP117	GPCRs, other		This pathway was created using the GPCRDB (Horn et al., 1998), http://www.gpcr.org/7tm/ (originally at http://www.cmbi.kun.nl/7tm/). The groupings are based on the GPCR phylogenetic tree available from the GPCRDB and the training sets used by Karchin et al. (Bioinformatics, 2002, pg. 147-159). The labels indicate children and grandchildren of the various classes of GPCRs as described by these references.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP117 CPTAC Assay Portal]		9606
WikiPathways	Pathway	WikiPathways:WP12	Osteoclast signaling		Signaling pathways involved in osteoclast activation. Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP12 CPTAC Assay Portal]		9606
WikiPathways	Pathway	WikiPathways:WP127	IL-5 signaling pathway		Interleukin 5 (IL-5) ligand belongs to the cytokine superfamily. IL-5 is a glycoprotein which belongs to the cytokine superfamily. It possesses the four helical bundle motifs that is conserved among several hematopoietic cytokines. IL-5 plays an important role in the proliferation and differentiation of eosinophils. IL-5 induces terminal maturation of eosinophils, prolongs eosinophils survival by delaying apoptotic death, increases eosinophils adhesion to endothelial cells and enhances eosinophils effector function. IL-5 plays important roles in the pathogenesis of asthma, hypereosinophilic syndromes and eosinophil-dependent inflammatory diseases. IL-5 is produced by eosinophils, mast cells, Th2 cells, Tc2 cells and gamma delta T cells. IL-5 exerts influence on different biological activities by associating with the IL-5 receptor. This receptor is a heterodimeric complex consisting of an alpha chain-IL5RA and a beta chain, CSF2RB, which is shared between IL-5 receptor, IL-3 receptor and granulocyte macrophage colony stimulating factor receptor. Binding of IL-5 to the receptor complex results in the recruitment of adapter proteins including SHC1, GRB2 and SOS1. This leads to the activation of the Ras/Raf/MEK/ERK cascade. Subsequent activation of transcription factors including JUN and ELK-1 regulates the expression of genes involved in the control of cell growth and differentiation. IL-5 stimulation also resulted in the activation of PI3K/AKT/RPS6K pathway resulting in the phosphorylation of RPS6 and regulation of gene expression. JAK phosphorylation and activation is also brought about by IL-5, which in turn results in the activation and nuclear translocation of STAT proteins. The STAT transcription factors are responsible for the expression of early response genes and feedback inhibitor of JAK/STAT pathway. In addition, IL-5 is known to activate various tyrosine kinases such as LYN, BTK and SYK. The interactions and intersections between canonical and non-canonical IL-5 signaling systems are depicted in the pathway map.Please access this pathway at [http://www.netpath.org/netslim/IL_5_pathway.html NetSlim] database.If you use this pathway, please cite the following paper:Kandasamy, K., Mohan, S. S., Raju, R., Keerthikumar, S., Kumar, G. S. S., Venugopal, A. K., Telikicherla, D., Navarro, J. D., Mathivanan, S., Pecquet, C., Gollapudi, S. K., Tattikota, S. G., Mohan, S., Padhukasahasram, H., Subbannayya, Y., Goel, R., Jacob, H. K. C., Zhong, J., Sekhar, R., Nanjappa, V., Balakrishnan, L., Subbaiah, R., Ramachandra, Y. L., Rahiman, B. A., Prasad, T. S. K., Lin, J., Houtman, J. C. D., Desiderio, S., Renauld, J., Constantinescu, S. N., Ohara, O., Hirano, T., Kubo, M., Singh, S., Khatri, P., Draghici, S., Bader, G. D., Sander, C., Leonard, W. J. and Pandey, A. (2010). NetPath: A public resource of curated signal transduction pathways. <i>Genome Biology</i>. 11:R3.		9606
WikiPathways	Pathway	WikiPathways:WP129	Matrix metalloproteinases		Matrix metalloproteinases (MMPs) are zinc-dependent endopeptidases; other family members are adamalysins, serralysins, and astacins. The MMPs belong to a larger family of proteases known as the metzincin superfamily.Collectively they are capable of degrading all kinds of extracellular matrix proteins, but also can process a number of bioactive molecules. They are known to be involved in the cleavage of cell surface receptors, the release of apoptotic ligands (such as the FAS ligand), and chemokine/cytokine in/activation. MMPs are also thought to play a major role on cell behaviors such as cell proliferation, migration (adhesion/dispersion), differentiation, angiogenesis, apoptosis and host defense.Source: [[wikipedia:Matrix_metalloproteinase|Wikipedia]]Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP129 CPTAC Assay Portal]		9606
WikiPathways	Pathway	WikiPathways:WP134	Pentose phosphate metabolism		Pentose phosphate, phosphogluconate, or hexose monophsphate pathway oxidizes glucose-6-phosphate to fructose-6-phosphate and glyceraldehyde-3-P. NADP+ is the electron acceptor. The pathways yields NADPH as well as 5, 4, and 7 carbon intermediaries for synthesis of nucleotides.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP134 CPTAC Assay Portal]		9606
WikiPathways	Pathway	WikiPathways:WP136	Phase I biotransformations, non P450		This pathway lists several phase 1 biotransformations and their related enzymes.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP136 CPTAC Assay Portal]		9606
