relation_type	source_name	source_type	source_id	target_name	target_type	target_id	key_sentence	pmid	resource
Hetionet::DrD::Disease:Disease	long COVID	Disease	MONDO:0100233	Endometriosis	Disease	MONDO:0005133	See Figure 1 for a summary of the female reproductive conditions we review in Long COVID, ME/CFS, POTS, and EDS.	37234076	CustomDB
Hetionet::DrD::Disease:Disease	long COVID	Disease	MONDO:0100233	Amenorrhea	Disease	MONDO:0001836	See Figure 1 for a summary of the female reproductive conditions we review in Long COVID, ME/CFS, POTS, and EDS.	37234076	CustomDB
Hetionet::DrD::Disease:Disease	long COVID	Disease	MONDO:0100233	Obesity	Disease	MONDO:0011122	For example, lipid metabolism disorders and obesity were found to be age-independent risk factors for the development of Long COVID, as shown in a retrospective study involving more than 50.000 patients with a confirmed diagnosis of Covid-19 treated by general practitioners in Germany.	36071155	CustomDB
GNBR::Md::Gene:Disease	alpha-1-macroglobulin	Gene	ENTREZ:2	CFS	Disease	MONDO:0005404	The proteins were alpha-1-macroglobulin, amyloid precursor-like protein 1, keratin 16, orosomucoid 2 and pigment epithelium-derived factor.	16321154	CustomDB
GNBR::Md::Gene:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	S100A8	Gene	ENTREZ:6279	 The gene ontology analysis of common genes (CXCL8, B2M, SOD1, BCL2, EGF, SERPINE1, S100A8, S100A9, and HMGB1).	36189286	CustomDB
GNBR::Md::Gene:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	S100A9	Gene	ENTREZ:6280	The gene ontology analysis of common genes (CXCL8, B2M, SOD1, BCL2, EGF, SERPINE1, S100A8, S100A9, and HMGB1).	36189286	CustomDB
GNBR::Mp::Compound:Disease	plasmalogens	Compound	MESH:D010955	ME/CFS	Disease	MONDO:0005404	Subjects in the ME/CFS group had significantly decreased levels of plasmalogens and phospholipid ethers (p < 0.001), phosphatidylcholines (p < 0.001) and sphingomyelins (p < 0.001), and elevated levels of dicarboxylic acids (p = 0.013).	35887252	CustomDB
GNBR::Md::Gene:Disease	neuropeptide Y	Gene	ENTREZ:4852	Chronic fatigue syndrome	Disease	MONDO:0005404	The significant correlations of NPY with stress, negative mood, general health, depression and cognitive function strongly suggest that this peptide be considered as a biomarker to distinguish subsets of CFS.	21190576	CustomDB
Hetionet::DuG::Disease:Gene	IL-2	Gene	ENTREZ:3558	CFS/ME	Disease	MONDO:0005404	A significant decrease was observed at T2 in the CFS/ME group for IL-10 and IL-17A while at T3, IL-2 was increased in the CFS/ME group in comparison to the non-fatigued controls.	22571715	CustomDB
GNBR::Mp::Compound:Disease	sphingomyelins	Compound	MESH:D013109	ME/CFS	Disease	MONDO:0005404	Subjects in the ME/CFS group had significantly decreased levels of plasmalogens and phospholipid ethers (p < 0.001), phosphatidylcholines (p < 0.001) and sphingomyelins (p < 0.001), and elevated levels of dicarboxylic acids (p = 0.013).	35887252	CustomDB
GNBR::Md::Gene:Disease	P-SEL	Gene	ENTREZ:6403	Long-COVID	Disease	MONDO:0100233	Vascular transformation blood biomarkers were significantly elevated in Long-COVID, with angiogenesis markers (ANG-1/P-SEL) providing classification accuracy of 96%.	36217108	CustomDB
Hetionet::DuG::Disease:Gene	transforming growth factor beta	Gene	ENTREZ:7040	long COVID	Disease	MONDO:0100233	Moreover, long COVID patients with neurological symptoms exhibited higher levels of neurofilament light chain and glial fibrillary acidic protein whereas those with pulmonary symptoms exhibited a higher level of transforming growth factor beta.	36744129	CustomDB
GNBR::Md::Gene:Disease	Interleukin 6	Gene	ENTREZ:3570	long COVID	Disease	MONDO:0100233	Of these, up-regulated Interleukin 6, C-reactive protein, and tumor necrosis factor alpha might serve as the potential diagnostic biomarkers for long COVID.	36744129	CustomDB
GNBR::Md::Gene:Disease	C-reactive protein	Gene	ENTREZ:1401	long COVID	Disease	MONDO:0100233	Of these, up-regulated Interleukin 6, C-reactive protein, and tumor necrosis factor alpha might serve as the potential diagnostic biomarkers for long COVID.	36744129	CustomDB
GNBR::Md::Gene:Disease	tumor necrosis factor alpha	Gene	ENTREZ:7124	long COVID	Disease	MONDO:0100233	Of these, up-regulated Interleukin 6, C-reactive protein, and tumor necrosis factor alpha might serve as the potential diagnostic biomarkers for long COVID.	36744129	CustomDB
GNBR::Pa::Compound:Disease	long COVID	Disease	MONDO:0100233	Remdesivir	Compound	DrugBank:DB14761	Remdesivir had a very large effect at regulating levels of C-reactive protein, moderate effects at increasing lymphocyte levels, and a negligible dysregulating effect on ferritin levels.	34588793	CustomDB
Hetionet::DlA::Disease:Anatomy	chronic fatigue syndrome	Disease	MONDO:0005404	heart	Anatomy	UBERON:0000948	CFS is a unique disorder in that it is often a multisystem disorder, causing direct damage to major organs such as the kidney, heart, and lungs [2].	37128534	CustomDB
Hetionet::DlA::Disease:Anatomy	chronic fatigue syndrome	Disease	MONDO:0005404	lung	Anatomy	UBERON:0002048	CFS is a unique disorder in that it is often a multisystem disorder, causing direct damage to major organs such as the kidney, heart, and lungs [2].	37128534	CustomDB
Hetionet::DrD::Disease:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	premature menopause	Disease	MONDO:0001119	See Figure 1 for a summary of the female reproductive conditions we review in Long COVID, ME/CFS, POTS, and EDS.	37234076	CustomDB
Hetionet::DuG::Disease:Gene	IL-10	Gene	ENTREZ:3586	CFS/ME	Disease	MONDO:0005404	Interestingly, following mitogenic stimulation, cytokine secretion revealed significant increases in IL-10, IFN-γ and TNF-α at T1 in the CFS/ME group.	22571715	CustomDB
GNBR::T::Compound:Disease	molecular hydrogen	Compound	DrugBank:DB15127	ME/CFS	Disease	MONDO:0005404	In this paper, these pathways are summarised, and data regarding promising therapeutic options that target these pathways are highlighted; they include coenzyme Q10, melatonin, curcumin, molecular hydrogen and N-acetylcysteine.	31509764	CustomDB
Hetionet::DuG::Disease:Gene	IFN-γ	Gene	ENTREZ:3458	CFS/ME	Disease	MONDO:0005404	Interestingly, following mitogenic stimulation, cytokine secretion revealed significant increases in IL-10, IFN-γ and TNF-α at T1 in the CFS/ME group.	22571715	CustomDB
