source_id	source_type	target_id	target_type	source_name	target_name	relation_type	ttd_gene_id	ttd_pathway_id	resource
SYMBOL:TGFA	Gene	WikiPathways:WP673	Pathway	TGFA	ErbB Signaling Pathway	Hetionet::GpPW::Gene:Pathway	T00033	WP673	TTD
SYMBOL:TGFA	Gene	WikiPathways:WP2884	Pathway	TGFA	NRF2 pathway	Hetionet::GpPW::Gene:Pathway	T00033	WP2884	TTD
SYMBOL:TGFA	Gene	WikiPathways:WP2882	Pathway	TGFA	Nuclear Receptors Meta-Pathway	Hetionet::GpPW::Gene:Pathway	T00033	WP2882	TTD
SYMBOL:TGFA	Gene	WikiPathways:WP2870	Pathway	TGFA	Extracellular vesicle-mediated signaling in recipient cells	Hetionet::GpPW::Gene:Pathway	T00033	WP2870	TTD
SYMBOL:CTGF	Gene	WikiPathways:WP2840	Pathway	CTGF	Hair Follicle Development: Cytodifferentiation (Part 3 of 3)	Hetionet::GpPW::Gene:Pathway	T00039	WP2840	TTD
SYMBOL:CTGF	Gene	WikiPathways:WP2804	Pathway	CTGF	Hair Follicle Development: Induction (Part 1 of 3)	Hetionet::GpPW::Gene:Pathway	T00039	WP2804	TTD
SYMBOL:CTGF	Gene	WikiPathways:WP2797	Pathway	CTGF	Regulation of Lipid Metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)	Hetionet::GpPW::Gene:Pathway	T00039	WP2797	TTD
SYMBOL:CTGF	Gene	WikiPathways:WP2738	Pathway	CTGF	YAP1- and WWTR1 (TAZ)-stimulated gene expression	Hetionet::GpPW::Gene:Pathway	T00039	WP2738	TTD
SYMBOL:ALOX5	Gene	WikiPathways:WP2877	Pathway	ALOX5	Vitamin D Receptor Pathway	Hetionet::GpPW::Gene:Pathway	T00140	WP2877	TTD
SYMBOL:ALOX5	Gene	WikiPathways:WP2650	Pathway	ALOX5	Arachidonic acid metabolism	Hetionet::GpPW::Gene:Pathway	T00140	WP2650	TTD
SYMBOL:ALOX5	Gene	WikiPathways:WP167	Pathway	ALOX5	Eicosanoid Synthesis	Hetionet::GpPW::Gene:Pathway	T00140	WP167	TTD
SYMBOL:ALOX5	Gene	WikiPathways:WP15	Pathway	ALOX5	Selenium Micronutrient Network	Hetionet::GpPW::Gene:Pathway	T00140	WP15	TTD
SYMBOL:TRPC5	Gene	WikiPathways:WP1868	Pathway	TRPC5	Netrin-1 signaling	Hetionet::GpPW::Gene:Pathway	T00156	WP1868	TTD
SYMBOL:MDM2	Gene	WikiPathways:WP710	Pathway	MDM2	DNA Damage Response (only ATM dependent)	Hetionet::GpPW::Gene:Pathway	T00176	WP710	TTD
SYMBOL:MDM2	Gene	WikiPathways:WP707	Pathway	MDM2	DNA Damage Response	Hetionet::GpPW::Gene:Pathway	T00176	WP707	TTD
SYMBOL:MDM2	Gene	WikiPathways:WP673	Pathway	MDM2	ErbB Signaling Pathway	Hetionet::GpPW::Gene:Pathway	T00176	WP673	TTD
SYMBOL:MDM2	Gene	WikiPathways:WP615	Pathway	MDM2	Senescence and Autophagy in Cancer	Hetionet::GpPW::Gene:Pathway	T00176	WP615	TTD
SYMBOL:MDM2	Gene	WikiPathways:WP465	Pathway	MDM2	Tryptophan metabolism	Hetionet::GpPW::Gene:Pathway	T00176	WP465	TTD
SYMBOL:MDM2	Gene	WikiPathways:WP45	Pathway	MDM2	G1 to S cell cycle control	Hetionet::GpPW::Gene:Pathway	T00176	WP45	TTD
SYMBOL:MDM2	Gene	WikiPathways:WP3286	Pathway	MDM2	Copper homeostasis	Hetionet::GpPW::Gene:Pathway	T00176	WP3286	TTD
SYMBOL:MDM2	Gene	WikiPathways:WP2828	Pathway	MDM2	Bladder Cancer	Hetionet::GpPW::Gene:Pathway	T00176	WP2828	TTD
SYMBOL:MDM2	Gene	WikiPathways:WP2754	Pathway	MDM2	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell	Hetionet::GpPW::Gene:Pathway	T00176	WP2754	TTD
