id,refseq_ids,name,description,taxname,label,resource
ENTREZ:2157,"NM_000132,NM_019863",F8,coagulation factor VIII,Homo sapiens,Gene,ENTREZ
ENTREZ:5264,"NM_001037537,NM_001323080,NM_001323082,NM_001323083,NM_001323084,NM_006214",PHYH,phytanoyl-CoA 2-hydroxylase,Homo sapiens,Gene,ENTREZ
ENTREZ:2158,"NM_000133,NM_001313913",F9,coagulation factor IX,Homo sapiens,Gene,ENTREZ
ENTREZ:3309,NM_005347,HSPA5,heat shock protein family A (Hsp70) member 5,Homo sapiens,Gene,ENTREZ
ENTREZ:28912,,IGKV3-20,immunoglobulin kappa variable 3-20,Homo sapiens,Gene,ENTREZ
ENTREZ:811,NM_004343,CALR,calreticulin,Homo sapiens,Gene,ENTREZ
ENTREZ:2159,"NM_000504,NM_001312674,NM_001312675",F10,coagulation factor X,Homo sapiens,Gene,ENTREZ
ENTREZ:821,"NM_001024649,NM_001363993,NM_001363994,NM_001363995,NM_001363996,NM_001363997,NM_001363998,NM_001363999,NM_001364000,NM_001364001,NM_001746",CANX,calnexin,Homo sapiens,Gene,ENTREZ
ENTREZ:5627,"NM_000313,NM_001314077",PROS1,protein S,Homo sapiens,Gene,ENTREZ
ENTREZ:5624,"NM_000312,NM_001375602,NM_001375603,NM_001375604,NM_001375605,NM_001375606,NM_001375607,NM_001375608,NM_001375609,NM_001375610,NM_001375611,NM_001375613",PROC,"protein C, inactivator of coagulation factors Va and VIIIa",Homo sapiens,Gene,ENTREZ
ENTREZ:2147,NM_000506,F2,"coagulation factor II, thrombin",Homo sapiens,Gene,ENTREZ
ENTREZ:5141,"NM_001111307,NM_001111308,NM_001111309,NM_001243121,NM_006202",PDE4A,phosphodiesterase 4A,Homo sapiens,Gene,ENTREZ
ENTREZ:4067,"NM_001111097,NM_002350",LYN,"LYN proto-oncogene, Src family tyrosine kinase",Homo sapiens,Gene,ENTREZ
ENTREZ:7316,NM_021009,UBC,ubiquitin C,Homo sapiens,Gene,ENTREZ
ENTREZ:5207,"NM_001271804,NM_001271805,NM_002625",PFKFB1,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1",Homo sapiens,Gene,ENTREZ
ENTREZ:5045,"NM_001289823,NM_001289824,NM_001382619,NM_001382620,NM_001382621,NM_001382622,NM_002569",FURIN,"furin, paired basic amino acid cleaving enzyme",Homo sapiens,Gene,ENTREZ
ENTREZ:368,"NM_001079528,NM_001171,NM_001351800",ABCC6,ATP binding cassette subfamily C member 6,Homo sapiens,Gene,ENTREZ
ENTREZ:4323,NM_004995,MMP14,matrix metallopeptidase 14,Homo sapiens,Gene,ENTREZ
ENTREZ:2316,"NM_001110556,NM_001456",FLNA,filamin A,Homo sapiens,Gene,ENTREZ
ENTREZ:23621,"NM_001207048,NM_001207049,NM_012104,NM_138971,NM_138972,NM_138973",BACE1,beta-secretase 1,Homo sapiens,Gene,ENTREZ
ENTREZ:51172,NM_016256,NAGPA,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,Homo sapiens,Gene,ENTREZ
ENTREZ:3359,"NM_000869,NM_001161772,NM_213621",HTR3A,5-hydroxytryptamine receptor 3A,Homo sapiens,Gene,ENTREZ
ENTREZ:5104,NM_000624,SERPINA5,serpin family A member 5,Homo sapiens,Gene,ENTREZ
